column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
npi_sleep_severity,40,686,0.9449035812672176,3,1.0,31,0.775,40,1.25,0.2375,1,77,0.9871794871794872,1,1.0,1,1.0,1,1.0,,3,1,1,0.042275905912269596,0.22499999999999998,0.25,0.5129891760425771,0,1,1,1,0,high_missingness
NPIK1,53,673,0.9269972451790633,2,0.0,32,0.6037735849056604,53,0.39622641509433965,0.23923104307582768,7,71,0.9102564102564102,2,1.0,4,0.5714285714285714,7,0.5714285714285714,0.2448979591836735,2,1,0,0.016740834922653103,0.03234501347708896,0.17520215633423175,0.35610157516169866,0,1,0,1,0,high_missingness
NPIK2,53,673,0.9269972451790633,2,1.0,35,0.660377358490566,53,0.660377358490566,0.2242791028835885,7,71,0.9102564102564102,2,0.0,4,0.5714285714285714,7,0.42857142857142855,0.24489795918367344,2,1,0,0.016740834922653103,0.0889487870619946,0.23180592991913745,0.4785983023107783,0,1,0,1,0,high_missingness
NPIK6,53,673,0.9269972451790633,2,0.0,38,0.7169811320754716,53,0.2830188679245283,0.20291918832324674,7,71,0.9102564102564102,1,0.0,7,1.0,7,0.0,0.0,2,1,1,0.016740834922653103,0.28301886792452835,0.2830188679245283,0.8885233166386385,0,1,1,1,0,high_missingness
NPIK7,53,673,0.9269972451790633,2,0.0,39,0.7358490566037735,53,0.2641509433962264,0.19437522249911,7,71,0.9102564102564102,1,0.0,7,1.0,7,0.0,0.0,2,1,1,0.016740834922653103,0.26415094339622647,0.2641509433962264,0.8473185457363234,0,1,1,1,0,high_missingness
NPIK9A,53,673,0.9269972451790633,4,3.0,24,0.4528301886792453,53,2.7547169811320753,0.8266286934852259,7,71,0.9102564102564102,2,3.0,4,0.5714285714285714,7,2.142857142857143,0.979591836734694,4,1,1,0.016740834922653103,0.1185983827493261,0.6118598382749325,0.6438453422566519,0,0,1,1,0,high_missingness
NPIK9B,53,673,0.9269972451790633,3,1.0,38,0.7169811320754716,53,1.3584905660377358,0.3809184763260947,7,71,0.9102564102564102,1,1.0,7,1.0,7,1.0,0.0,3,1,1,0.016740834922653103,0.28301886792452835,0.35849056603773577,0.821441632217522,0,1,1,1,0,high_missingness
npi_sleep_symptom_count,53,673,0.9269972451790633,4,1.0,22,0.41509433962264153,53,1.9245283018867925,0.8244927020291918,7,71,0.9102564102564102,3,2.0,3,0.42857142857142855,7,1.2857142857142858,0.489795918367347,5,1,0,0.016740834922653103,0.01347708894878702,0.6388140161725067,0.7880323755250299,0,1,1,1,0,high_missingness
NPID8,60,666,0.9173553719008265,2,0.0,51,0.85,60,0.15,0.1275,8,70,0.8974358974358975,1,0.0,8,1.0,8,0.0,0.0,2,1,1,0.019919474464929032,0.15000000000000002,0.15,0.5940885257860046,0,0,1,1,0,high_missingness
NPID1,61,665,0.9159779614325069,2,0.0,41,0.6721311475409836,61,0.32786885245901637,0.22037086804622416,8,70,0.8974358974358975,2,0.0,7,0.875,8,0.125,0.109375,2,1,1,0.018542063996609404,0.20286885245901642,0.20286885245901637,0.4996210057769563,0,1,0,1,0,high_missingness
NPID2,61,665,0.9159779614325069,2,1.0,51,0.8360655737704918,61,0.8360655737704918,0.13705993012631013,8,70,0.8974358974358975,1,1.0,8,1.0,8,1.0,0.0,2,1,1,0.018542063996609404,0.16393442622950816,0.16393442622950816,0.6262242910851493,0,0,1,1,0,high_missingness
npi_depression_symptom_count,61,665,0.9159779614325069,7,1.0,21,0.3442622950819672,61,2.0655737704918034,1.4383230314431605,8,70,0.8974358974358975,3,1.0,5,0.625,8,1.5,0.5,7,1,1,0.018542063996609404,0.2807377049180328,0.5655737704918034,0.5745015170281024,0,1,1,1,0,high_missingness
npi_depression_severity,0,726,1.0,0,,0,,0,,,0,78,1.0,0,,0,,0,,,0,1,,0.0,,,,0,0,0,0,0,all_missing_in_train
blurred_vision_symptom,16,710,0.977961432506887,2,0.0,12,0.75,16,0.25,0.1875,0,78,1.0,0,,0,,0,,,2,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
chest_pain_symptom,16,710,0.977961432506887,1,0.0,16,1.0,16,0.0,0.0,0,78,1.0,0,,0,,0,,,1,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
depressed_mood_symptom,16,710,0.977961432506887,2,0.0,13,0.8125,16,0.1875,0.15234375,0,78,1.0,0,,0,,0,,,2,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
fall_symptom,16,710,0.977961432506887,2,0.0,13,0.8125,16,0.1875,0.15234375,0,78,1.0,0,,0,,0,,,2,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
headache_symptom,16,710,0.977961432506887,2,0.0,13,0.8125,16,0.1875,0.15234375,0,78,1.0,0,,0,,0,,,2,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
insomnia_symptom,16,710,0.977961432506887,2,0.0,13,0.8125,16,0.1875,0.15234375,0,78,1.0,0,,0,,0,,,2,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
musculoskeletal_pain_symptom,16,710,0.977961432506887,2,0.0,9,0.5625,16,0.4375,0.24609375,0,78,1.0,0,,0,,0,,,2,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
symptom_burden_current,16,710,0.977961432506887,4,1.0,6,0.375,16,1.4375,0.99609375,0,78,1.0,0,,0,,0,,,4,1,,0.02203856749311295,,,,0,0,0,0,0,high_missingness
