column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
npi_sleep_severity,40,732,0.9481865284974094,3,1.0,32,0.8,40,1.225,0.22437500000000005,2,118,0.9833333333333333,1,1.0,2,1.0,2,1.0,0.0,3,1,1,0.03514680483592392,0.19999999999999996,0.2250000000000001,0.6717540337758684,0,0,1,1,0,high_missingness
NPIK9C,58,714,0.9248704663212435,5,0.0,23,0.39655172413793105,58,1.0689655172413792,1.2711058263971462,12,108,0.9,4,0.0,8,0.6666666666666666,12,0.6666666666666666,1.0555555555555556,5,1,1,0.024870466321243456,0.2701149425287356,0.4022988505747126,0.372990008987457,0,1,0,1,0,high_missingness
npi_sleep_symptom_count,58,714,0.9248704663212435,5,1.0,23,0.39655172413793105,58,1.8793103448275863,0.8302615933412604,12,108,0.9,2,1.0,9,0.75,12,1.25,0.1875,5,1,1,0.024870466321243456,0.35344827586206895,0.6293103448275863,0.8821792525682752,0,1,1,1,0,high_missingness
NPID2,64,708,0.917098445595855,2,1.0,53,0.828125,64,0.828125,0.142333984375,10,110,0.9166666666666666,1,1.0,10,1.0,10,1.0,0.0,2,1,1,0.00043177892918833116,0.171875,0.171875,0.644278153923165,0,0,1,1,0,high_missingness
NPID5,64,708,0.917098445595855,2,0.0,45,0.703125,64,0.296875,0.208740234375,10,110,0.9166666666666666,2,0.0,9,0.9,10,0.1,0.09000000000000001,2,1,1,0.00043177892918833116,0.19687500000000002,0.196875,0.5093997298102966,0,0,1,1,0,high_missingness
NPID9C,64,708,0.917098445595855,5,1.0,23,0.359375,64,1.640625,1.042724609375,10,110,0.9166666666666666,3,2.0,5,0.5,10,1.7,0.41,5,1,0,0.00043177892918833116,0.140625,0.059374999999999956,0.06966697823357153,0,1,0,1,0,high_missingness
faq_reminders,770,2,0.0025906735751295338,6,0.0,577,0.7493506493506493,770,0.8415584415584415,2.2450261426884803,120,0,0.0,5,0.0,110,0.9166666666666666,120,0.23333333333333334,0.6455555555555557,6,1,1,0.0025906735751295338,0.1673160173160173,0.6082251082251082,0.5059256727727492,0,0,1,1,0,mode_dominance
npi_depression_severity,0,772,1.0,0,,0,,0,,,0,120,1.0,0,,0,,0,,,0,1,,0.0,,,,0,0,0,0,0,all_missing_in_train
blurred_vision_symptom,16,756,0.9792746113989638,2,0.0,12,0.75,16,0.25,0.1875,0,120,1.0,0,,0,,0,,,2,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
chest_pain_symptom,16,756,0.9792746113989638,1,0.0,16,1.0,16,0.0,0.0,0,120,1.0,0,,0,,0,,,1,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
depressed_mood_symptom,16,756,0.9792746113989638,2,0.0,13,0.8125,16,0.1875,0.15234375,0,120,1.0,0,,0,,0,,,2,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
fall_symptom,16,756,0.9792746113989638,2,0.0,13,0.8125,16,0.1875,0.15234375,0,120,1.0,0,,0,,0,,,2,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
headache_symptom,16,756,0.9792746113989638,2,0.0,13,0.8125,16,0.1875,0.15234375,0,120,1.0,0,,0,,0,,,2,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
insomnia_symptom,16,756,0.9792746113989638,2,0.0,13,0.8125,16,0.1875,0.15234375,0,120,1.0,0,,0,,0,,,2,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
musculoskeletal_pain_symptom,16,756,0.9792746113989638,2,0.0,9,0.5625,16,0.4375,0.24609375,0,120,1.0,0,,0,,0,,,2,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
symptom_burden_current,16,756,0.9792746113989638,4,1.0,6,0.375,16,1.4375,0.99609375,0,120,1.0,0,,0,,0,,,4,1,,0.020725388601036232,,,,0,0,0,0,0,high_missingness
NPIK8,57,715,0.9261658031088082,2,0.0,53,0.9298245614035088,57,0.07017543859649122,0.0652508464142813,12,108,0.9,1,0.0,12,1.0,12,0.0,0.0,2,1,1,0.026165803108808228,0.07017543859649122,0.07017543859649122,0.38851434494290565,0,0,0,0,0,high_missingness
NPIK1,58,714,0.9248704663212435,2,0.0,32,0.5517241379310345,58,0.4482758620689655,0.24732461355529128,12,108,0.9,2,0.0,9,0.75,12,0.25,0.1875,2,1,1,0.024870466321243456,0.19827586206896552,0.19827586206896552,0.4252338072225568,0,0,0,0,0,high_missingness
NPIK2,58,714,0.9248704663212435,2,1.0,37,0.6379310344827587,58,0.6379310344827587,0.23097502972651607,12,108,0.9,2,1.0,7,0.5833333333333334,12,0.5833333333333334,0.24305555555555558,2,1,1,0.024870466321243456,0.054597701149425304,0.054597701149425304,0.11214661585936667,0,0,0,0,0,high_missingness
NPIK3,58,714,0.9248704663212435,2,0.0,57,0.9827586206896551,58,0.017241379310344827,0.01694411414982164,12,108,0.9,1,0.0,12,1.0,12,0.0,0.0,2,1,1,0.024870466321243456,0.017241379310344862,0.017241379310344827,0.1873171623163388,0,0,0,0,0,high_missingness
NPIK4,58,714,0.9248704663212435,2,0.0,45,0.7758620689655172,58,0.22413793103448276,0.17390011890606424,12,108,0.9,2,0.0,10,0.8333333333333334,12,0.16666666666666666,0.13888888888888892,2,1,1,0.024870466321243456,0.05747126436781613,0.057471264367816105,0.14532489181701183,0,0,0,0,0,high_missingness
NPIK5,58,714,0.9248704663212435,1,0.0,58,1.0,58,0.0,0.0,12,108,0.9,1,0.0,12,1.0,12,0.0,0.0,1,1,1,0.024870466321243456,0.0,0.0,0.0,0,0,0,0,0,high_missingness
