column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
npi_sleep_severity,37,693,0.9493150684931507,3,1.0,29,0.7837837837837838,37,1.2432432432432432,0.23813002191380564,3,85,0.9659090909090909,1,1.0,3,1.0,3,1.0,0.0,3,1,1,0.016594022415940213,0.21621621621621623,0.2432432432432432,0.7049344049891615,0,1,1,1,0,high_missingness
NPIK1,54,676,0.9260273972602739,2,0.0,32,0.5925925925925926,54,0.4074074074074074,0.24142661179698213,9,79,0.8977272727272727,2,1.0,5,0.5555555555555556,9,0.5555555555555556,0.2469135802469136,2,1,0,0.028300124533001236,0.03703703703703698,0.1481481481481482,0.2998126755983447,0,1,0,1,0,high_missingness
NPIK6,54,676,0.9260273972602739,2,0.0,39,0.7222222222222222,54,0.2777777777777778,0.20061728395061726,9,79,0.8977272727272727,1,0.0,9,1.0,9,0.0,0.0,2,1,1,0.028300124533001236,0.2777777777777778,0.2777777777777778,0.8770580193070292,0,1,1,1,0,high_missingness
npi_sleep_symptom_count,54,676,0.9260273972602739,5,1.0,24,0.4444444444444444,54,1.8333333333333333,0.8796296296296297,9,79,0.8977272727272727,2,1.0,6,0.6666666666666666,9,1.3333333333333333,0.2222222222222222,5,1,1,0.028300124533001236,0.2222222222222222,0.5,0.6736330697086077,0,1,1,1,0,high_missingness
NPID8,61,669,0.9164383561643835,2,0.0,52,0.8524590163934426,61,0.14754098360655737,0.12577264176296696,8,80,0.9090909090909091,1,0.0,8,1.0,8,0.0,0.0,2,1,1,0.007347447073474456,0.14754098360655743,0.14754098360655737,0.588348405414552,0,0,1,1,0,high_missingness
NPID6,62,668,0.915068493150685,2,0.0,55,0.8870967741935484,62,0.11290322580645161,0.10015608740894902,8,80,0.9090909090909091,1,0.0,8,1.0,8,0.0,0.0,2,1,1,0.005977584059775887,0.11290322580645162,0.11290322580645161,0.504524979109513,0,0,1,1,0,high_missingness
NPID9A,62,668,0.915068493150685,4,1.0,42,0.6774193548387096,62,1.5,0.6693548387096774,8,80,0.9090909090909091,3,2.0,4,0.5,8,1.875,0.859375,4,1,0,0.005977584059775887,0.17741935483870963,0.375,0.4289245401321734,0,1,0,1,0,high_missingness
NPID9C,62,668,0.915068493150685,5,1.0,23,0.3709677419354839,62,1.6290322580645162,1.104318418314256,8,80,0.9090909090909091,2,2.0,5,0.625,8,1.625,0.234375,5,1,0,0.005977584059775887,0.2540322580645161,0.0040322580645162365,0.004928590696632801,0,1,0,1,0,high_missingness
npi_depression_symptom_count,62,668,0.915068493150685,7,1.0,22,0.3548387096774194,62,2.1129032258064515,1.4549947970863686,8,80,0.9090909090909091,4,1.0,4,0.5,8,1.5,1.0,7,1,1,0.005977584059775887,0.14516129032258063,0.6129032258064515,0.5531992936676242,0,0,1,1,0,high_missingness
csf_abeta42_abeta40_ratio,143,587,0.8041095890410959,143,0.09683343888537049,1,0.006993006993006993,143,0.06348994241724494,0.0007125617371244783,26,62,0.7045454545454546,26,0.057990314769975786,1,0.038461538461538464,26,0.07613715392920403,0.0005185887243821464,169,0,,0.09956413449564128,0.03146853146853147,0.012647211511959092,0.5097464541703265,0,0,1,1,0,high_missingness
plasma_abeta42,213,517,0.7082191780821918,204,20.22,2,0.009389671361502348,213,25.124976525821594,45.00545504639732,43,45,0.5113636363636364,43,21.5,1,0.023255813953488372,43,24.104883720930232,47.35543428880476,241,0,,0.19685554171855546,0.013866142591986024,1.0200928048913624,0.1501103470863675,1,0,0,1,0,high_missingness
plasma_abeta42_abeta40_ratio,213,517,0.7082191780821918,179,0.0875,3,0.014084507042253521,213,0.0868780418450704,0.00023862680458303957,43,45,0.5113636363636364,43,0.07,1,0.023255813953488372,43,0.09881732497674418,0.0014206530042853585,212,0,,0.19685554171855546,0.00917130691123485,0.011939283131673778,0.4145084944603754,1,0,0,1,0,high_missingness
plasma_ptau217,213,517,0.7082191780821918,162,0.144,4,0.018779342723004695,213,0.26577934272300474,0.10225764614604685,43,45,0.5113636363636364,40,0.072,2,0.046511627906976744,43,0.1603720930232558,0.013637256895619253,185,0,,0.19685554171855546,0.02773228518397205,0.10540724969974893,0.4378781871459306,1,0,0,1,0,high_missingness
plasma_ptau217_abeta42_ratio,213,517,0.7082191780821918,202,0.00368,2,0.009389671361502348,213,0.012876688643192488,0.0004336807600459523,43,45,0.5113636363636364,43,0.00465,1,0.023255813953488372,43,0.009875313651162789,0.00032372984068030865,239,0,,0.19685554171855546,0.013866142591986024,0.003001374992029699,0.15423025187045397,1,0,0,1,0,high_missingness
faq_finances,727,3,0.00410958904109589,6,0.0,570,0.7840440165061898,727,0.6189821182943603,1.7269024027063793,88,0,0.0,2,0.0,81,0.9204545454545454,88,0.07954545454545454,0.07321797520661155,6,1,1,0.00410958904109589,0.1364105289483556,0.5394366637489058,0.5685971576732968,0,0,1,1,0,mode_dominance
faq_forms,727,3,0.00410958904109589,6,0.0,534,0.734525447042641,727,0.7331499312242091,1.9452972306155387,88,0,0.0,2,0.0,81,0.9204545454545454,88,0.07954545454545454,0.07321797520661157,6,1,1,0.00410958904109589,0.18592909841190441,0.6536044766787545,0.6505999165743236,0,0,1,1,0,mode_dominance
