column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
has_baseline_row,726,0,0.0,1,1.0,726,1.0,726,1.0,0.0,78,0,0.0,1,1.0,78,1.0,78,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
has_screening_row,726,0,0.0,1,1.0,726,1.0,726,1.0,0.0,78,0,0.0,1,1.0,78,1.0,78,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
screening_fallback_allowed,726,0,0.0,1,1.0,726,1.0,726,1.0,0.0,78,0,0.0,1,1.0,78,1.0,78,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
renal_dysfunction,511,215,0.29614325068870523,2,0.0,262,0.512720156555773,511,0.487279843444227,0.24983819761719667,60,18,0.23076923076923078,2,1.0,35,0.5833333333333334,60,0.5833333333333334,0.2430555555555556,2,1,0,0.06537401991947445,0.0706131767775604,0.09605348988910639,0.19348686565372292,0,1,0,1,1,
modifiable_risk_core8_count,726,0,0.0,6,1.0,204,0.2809917355371901,726,1.896694214876033,1.618804498781959,78,0,0.0,5,2.0,24,0.3076923076923077,78,2.051282051282051,1.2281393819855357,6,1,0,0.0,0.02670057215511762,0.15458783640601803,0.12956892738005563,0,1,0,1,1,
eGFR,461,265,0.3650137741046832,459,75.03700674528076,2,0.004338394793926247,461,73.69183239244526,222.76601051344377,54,24,0.3076923076923077,53,95.20634106410154,2,0.037037037037037035,54,72.83940837143135,214.74841997893492,510,0,,0.05732146641237551,0.03269864224311079,0.8524240210139169,0.05763343257318578,0,0,0,0,1,
tobacco_burden,465,261,0.359504132231405,128,0.0,324,0.6967741935483871,465,-0.0655955913377106,0.1607433156819317,55,23,0.2948717948717949,23,0.0,30,0.5454545454545454,55,-0.08018261621404124,0.40103160396910736,143,0,,0.0646323373596101,0.15131964809384169,0.014587024876330637,0.02752330281200105,0,0,0,0,1,
alcohol_risk_status,511,215,0.29614325068870523,2,0.0,494,0.9667318982387475,511,0.033268101761252444,0.0321613351664554,60,18,0.23076923076923078,2,0.0,57,0.95,60,0.05,0.04749999999999999,2,1,1,0.06537401991947445,0.016731898238747545,0.01673189823874756,0.08383713370291583,0,0,0,0,1,
heart_disease,511,215,0.29614325068870523,2,1.0,318,0.6223091976516634,511,0.6223091976516634,0.23504046016980634,60,18,0.23076923076923078,2,1.0,43,0.7166666666666667,60,0.7166666666666667,0.2030555555555555,2,1,1,0.06537401991947445,0.0943574690150033,0.0943574690150033,0.20160747444597404,0,0,0,0,1,
smoking,511,215,0.29614325068870523,2,0.0,459,0.898238747553816,511,0.10176125244618395,0.091405899946768,60,18,0.23076923076923078,2,0.0,54,0.9,60,0.1,0.09,2,1,1,0.06537401991947445,0.0017612524461839696,0.0017612524461839418,0.005848047659121073,0,0,0,0,1,
BMI,726,0,0.0,704,30.275037000788288,3,0.004132231404958678,726,27.825511542482968,135.37949853130945,77,1,0.01282051282051282,76,23.7194754376533,2,0.025974025974025976,77,27.24916471208351,25.283162799948467,778,0,,0.01282051282051282,0.021841794569067298,0.5763468303994586,0.06430450931341597,0,0,0,0,1,
depression,726,0,0.0,2,0.0,615,0.8471074380165289,726,0.15289256198347106,0.1295164264736015,78,0,0.0,2,0.0,71,0.9102564102564102,78,0.08974358974358974,0.08168967784352402,2,1,1,0.0,0.06314897223988136,0.06314897223988132,0.19432472040545995,0,0,0,0,1,
diabetes,726,0,0.0,2,0.0,669,0.9214876033057852,726,0.07851239669421488,0.07234820025954512,78,0,0.0,2,0.0,74,0.9487179487179487,78,0.05128205128205128,0.04865220249835635,2,1,1,0.0,0.027230345412163515,0.027230345412163598,0.11070691282895885,0,0,0,0,1,
high_cholesterol,726,0,0.0,2,0.0,626,0.8622589531680441,726,0.13774104683195593,0.11876845084959285,78,0,0.0,2,0.0,65,0.8333333333333334,78,0.16666666666666666,0.13888888888888895,2,1,1,0.0,0.02892561983471076,0.02892561983471073,0.08058911984184813,0,0,0,0,1,
