column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
alcohol_risk_status,503,213,0.29748603351955305,2,0.0,485,0.9642147117296223,503,0.03578528827037773,0.0345047014137837,50,18,0.2647058823529412,2,0.0,48,0.96,50,0.04,0.038400000000000004,2,1,1,0.03278015116661187,0.004214711729622289,0.004214711729622268,0.022075223328240016,0,0,0,0,0,mode_dominance
smoking,503,213,0.29748603351955305,2,0.0,449,0.8926441351888668,503,0.1073558648111332,0.09583058310178688,50,18,0.2647058823529412,2,0.0,47,0.94,50,0.06,0.056400000000000006,2,1,1,0.03278015116661187,0.047355864811133186,0.0473558648111332,0.17164763123690302,0,0,0,0,0,mode_dominance
depression,716,0,0.0,2,0.0,607,0.8477653631284916,716,0.15223463687150837,0.12905925220810835,68,0,0.0,2,0.0,60,0.8823529411764706,68,0.11764705882352941,0.10380622837370242,2,1,1,0.0,0.03458757804797896,0.03458757804797896,0.1013637321706483,0,0,0,0,0,mode_dominance
diabetes,716,0,0.0,2,0.0,660,0.9217877094972067,716,0.0782122905027933,0.07209512811709998,68,0,0.0,2,0.0,63,0.9264705882352942,68,0.07352941176470588,0.06812283737024219,2,1,1,0.0,0.0046828787380874815,0.004682878738087412,0.017685855776509204,0,0,0,0,0,mode_dominance
has_baseline_row,716,0,0.0,1,1.0,716,1.0,716,1.0,0.0,68,0,0.0,1,1.0,68,1.0,68,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
has_screening_row,716,0,0.0,1,1.0,716,1.0,716,1.0,0.0,68,0,0.0,1,1.0,68,1.0,68,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
high_cholesterol,716,0,0.0,2,0.0,616,0.8603351955307262,716,0.13966480446927373,0.12015854686183329,68,0,0.0,2,0.0,60,0.8823529411764706,68,0.11764705882352941,0.10380622837370242,2,1,1,0.0,0.022017745645744324,0.022017745645744324,0.06579577228036845,0,0,0,0,0,mode_dominance
libra_supported_late_life_n_observed,716,0,0.0,2,6.0,503,0.702513966480447,716,5.10754189944134,1.880892840423208,68,0,0.0,2,6.0,50,0.7352941176470589,68,5.205882352941177,1.7517301038062283,2,1,1,0.0,0.032780151166611926,0.09834045349983622,0.07296877303938623,0,0,0,0,0,mode_dominance
libra_supported_n_observed,716,0,0.0,2,8.0,503,0.702513966480447,716,7.10754189944134,1.880892840423208,68,0,0.0,3,8.0,49,0.7205882352941176,68,7.1911764705882355,1.7428633217993081,3,1,1,0.0,0.01807426881367069,0.0836345711468951,0.062132860555843765,0,0,0,0,0,mode_dominance
obesity,716,0,0.0,2,0.0,551,0.7695530726256983,716,0.23044692737430167,0.177341141038045,67,1,0.014705882352941176,2,0.0,51,0.7611940298507462,67,0.23880597014925373,0.18177767877032747,2,1,1,0.014705882352941176,0.00835904277495203,0.008359042774952058,0.019726610196041904,0,0,0,0,0,mode_dominance
screening_fallback_allowed,716,0,0.0,1,1.0,716,1.0,716,1.0,0.0,68,0,0.0,1,1.0,68,1.0,68,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
