column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_variance,keep_for_modeling,drop_reason
has_baseline_row,822,0,0.0,1,1.0,822,1.0,0.0,0,constant_in_train
has_screening_row,822,0,0.0,1,1.0,822,1.0,0.0,0,constant_in_train
screening_fallback_allowed,822,0,0.0,1,1.0,822,1.0,0.0,0,constant_in_train
first_conversion_month,411,411,0.5,27,12.0,273,0.6642335766423357,1109.1391123661356,1,
smoking,468,354,0.4306569343065693,2,0.0,359,0.7670940170940171,0.17866078603258084,1,
tobacco_burden,468,354,0.4306569343065693,107,0.0,359,0.7670940170940171,0.09461547653615685,1,
eGFR,514,308,0.3746958637469586,509,78.79254395313062,2,0.0038910505836575876,226.58392797035546,1,
transition_label,554,268,0.3260340632603406,2,0.0,411,0.7418772563176895,0.19149539287622672,1,
alcohol_risk_status,571,251,0.305352798053528,2,0.0,552,0.9667250437828371,0.032167733505908756,1,
heart_disease,571,251,0.305352798053528,2,1.0,370,0.647985989492119,0.2281001469140385,1,
renal_dysfunction,571,251,0.305352798053528,2,1.0,288,0.5043782837127846,0.24998083063173035,1,
BMI,821,1,0.0012165450121654502,796,30.275037000788288,3,0.0036540803897685747,123.22325662356683,1,
obesity,821,1,0.0012165450121654502,2,0.0,630,0.7673568818514007,0.17852029772669617,1,
baseline_diagnosis,822,0,0.0,2,1.0,554,0.6739659367396593,0.2197358528542929,1,
depression,822,0,0.0,2,0.0,696,0.8467153284671532,0.129788481005914,1,
diabetes,822,0,0.0,2,0.0,761,0.9257907542579076,0.0687022335884822,1,
high_cholesterol,822,0,0.0,2,0.0,707,0.8600973236009732,0.12032991753541594,1,
hypertension,822,0,0.0,2,0.0,452,0.5498783454987834,0.24751215065030396,1,
libra_supported_late_life_n_observed,822,0,0.0,3,6.0,468,0.5693430656934306,1.7890433989853247,1,
libra_supported_late_life_raw,822,0,0.0,34,0.0,238,0.2895377128953771,1.935953197056612,1,
libra_supported_late_life_rescaled_0_100,822,0,0.0,53,0.0,238,0.2895377128953771,337.6596706817318,1,
libra_supported_n_observed,822,0,0.0,3,8.0,467,0.5681265206812652,1.787724735231262,1,
libra_supported_raw,822,0,0.0,63,0.0,109,0.13260340632603407,3.284480378401738,1,
libra_supported_rescaled_0_100,822,0,0.0,102,0.0,109,0.13260340632603407,283.4512349365901,1,
modifiable_risk_core8_count,822,0,0.0,7,2.0,219,0.2664233576642336,1.7174714807513571,1,
n_followup_visits_ge12_with_diag,822,0,0.0,17,3.0,154,0.1873479318734793,8.428781797408256,1,
social_structural_engagement,822,0,0.0,5,0.6666666666666666,502,0.610705596107056,0.046925494100134905,1,
vascular_treatment_gap,822,0,0.0,4,0.0,479,0.5827250608272506,0.3809073472214823,1,
