column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
alcohol_risk_status,510,220,0.3013698630136986,2,0.0,491,0.9627450980392157,510,0.03725490196078431,0.03586697424067666,57,31,0.3522727272727273,2,0.0,56,0.9824561403508771,57,0.017543859649122806,0.017236072637734686,2,1,1,0.05090286425902868,0.01971104231166143,0.019711042311661507,0.12096643115197485,0,0,0,0,0,mode_dominance
smoking,510,220,0.3013698630136986,2,0.0,454,0.8901960784313725,510,0.10980392156862745,0.09774702037677815,57,31,0.3522727272727273,2,0.0,52,0.9122807017543859,57,0.08771929824561403,0.08002462296091105,2,1,1,0.05090286425902868,0.02208462332301342,0.02208462332301342,0.0740753565531067,0,0,0,0,0,mode_dominance
obesity,729,1,0.0013698630136986301,2,0.0,556,0.7626886145404664,729,0.23731138545953362,0.1809946917908102,88,0,0.0,2,0.0,71,0.8068181818181818,88,0.19318181818181818,0.15586260330578516,2,1,1,0.0013698630136986301,0.04412956727771533,0.04412956727771544,0.1075280297441916,0,0,0,0,0,mode_dominance
depression,730,0,0.0,2,0.0,613,0.8397260273972603,730,0.16027397260273973,0.13458622630887596,88,0,0.0,2,0.0,75,0.8522727272727273,88,0.14772727272727273,0.12590392561983474,2,1,1,0.0,0.012546699875466971,0.012546699875466999,0.03476552986077264,0,0,0,0,0,mode_dominance
diabetes,730,0,0.0,2,0.0,673,0.9219178082191781,730,0.07808219178082192,0.07198536310752487,88,0,0.0,2,0.0,81,0.9204545454545454,88,0.07954545454545454,0.07321797520661155,2,1,1,0.0,0.0014632627646327112,0.001463262764632628,0.005430615046520179,0,0,0,0,0,mode_dominance
has_baseline_row,730,0,0.0,1,1.0,730,1.0,730,1.0,0.0,88,0,0.0,1,1.0,88,1.0,88,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
has_screening_row,730,0,0.0,1,1.0,730,1.0,730,1.0,0.0,88,0,0.0,1,1.0,88,1.0,88,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
high_cholesterol,730,0,0.0,2,0.0,626,0.8575342465753425,730,0.14246575342465753,0.12216926252580221,88,0,0.0,2,0.0,76,0.8636363636363636,88,0.13636363636363635,0.11776859504132232,2,1,1,0.0,0.006102117061021151,0.006102117061021178,0.017617575617968523,0,0,0,0,0,mode_dominance
screening_fallback_allowed,730,0,0.0,1,1.0,730,1.0,730,1.0,0.0,88,0,0.0,1,1.0,88,1.0,88,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
renal_dysfunction,510,220,0.3013698630136986,2,0.0,259,0.5078431372549019,510,0.492156862745098,0.24993848519800074,57,31,0.3522727272727273,2,1.0,31,0.543859649122807,57,0.543859649122807,0.24807633117882427,2,1,0,0.05090286425902868,0.03601651186790511,0.05170278637770903,0.10361146510944796,0,1,0,1,1,
