column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
alcohol_abuse_duration_years,11,739,0.9853333333333333,7,20.0,3,0.2727272727272727,11,18.181818181818183,69.96694214876034,1,99,0.99,1,15.0,1,1.0,1,15.0,,8,1,0,0.004666666666666708,0.7272727272727273,3.1818181818181834,0.3803898431740569,0,1,0,1,0,high_missingness
alcohol_drinks_per_day,11,739,0.9853333333333333,6,3.0,4,0.36363636363636365,11,4.454545454545454,4.429752066115703,1,99,0.99,1,6.0,1,1.0,1,6.0,,7,1,0,0.004666666666666708,0.6363636363636364,1.5454545454545459,0.7342881617441562,0,1,1,1,0,high_missingness
alcohol_years_since_end,14,736,0.9813333333333333,11,31.0,2,0.14285714285714285,14,21.928571428571427,160.6377551020408,4,96,0.96,4,31.0,1,0.25,4,20.0,245.5,14,0,,0.021333333333333315,0.10714285714285715,1.928571428571427,0.13533622063997647,0,0,0,0,0,high_missingness
current_alcohol_abuse,515,235,0.31333333333333335,2,0.0,509,0.9883495145631068,515,0.011650485436893204,0.011514751625977943,78,22,0.22,2,0.0,77,0.9871794871794872,78,0.01282051282051282,0.012656147271531885,2,1,1,0.09333333333333335,0.0011700273836195985,0.0011700273836196158,0.010643013747832091,0,0,0,0,0,mode_dominance
has_baseline_row,750,0,0.0,1,1.0,750,1.0,750,1.0,0.0,100,0,0.0,1,1.0,100,1.0,100,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
has_diabetes_med,750,0,0.0,2,0.0,742,0.9893333333333333,750,0.010666666666666666,0.010552888888888888,100,0,0.0,2,0.0,99,0.99,100,0.01,0.009899999999999997,2,1,1,0.0,0.0006666666666667043,0.0006666666666666661,0.0065924433916423825,0,0,0,0,0,mode_dominance
has_screening_row,750,0,0.0,1,1.0,750,1.0,750,1.0,0.0,100,0,0.0,1,1.0,100,1.0,100,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
screening_fallback_allowed,750,0,0.0,1,1.0,750,1.0,750,1.0,0.0,100,0,0.0,1,1.0,100,1.0,100,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
smoking_duration_years,94,656,0.8746666666666667,31,10.0,20,0.2127659574468085,94,18.52127659574468,165.0367813490267,23,77,0.77,15,20.0,4,0.17391304347826086,23,17.52173913043478,243.5538752362949,35,0,,0.10466666666666669,0.03885291396854765,0.9995374653098992,0.06993101946390962,1,0,0,1,1,
smoking_packs_per_day,94,656,0.8746666666666667,11,1.0,36,0.3829787234042553,94,1.270212765957447,1.5533680398370302,23,77,0.77,7,1.0,12,0.5217391304347826,23,1.0782608695652174,1.3956143667296785,12,0,,0.10466666666666669,0.13876040703052728,0.19195189639222954,0.15807795688222984,1,0,0,1,1,
smoking_years_since_quit,152,598,0.7973333333333333,48,40.0,12,0.07894736842105263,152,34.58552631578947,156.0584747229917,31,69,0.69,22,50.0,3,0.0967741935483871,31,38.225806451612904,214.8844953173777,51,0,,0.10733333333333339,0.017826825127334467,3.6402801358234314,0.26729832125002734,1,0,0,1,1,
smoking_history,515,235,0.31333333333333335,2,0.0,324,0.629126213592233,515,0.37087378640776697,0.23332642096333303,78,22,0.22,2,1.0,39,0.5,78,0.5,0.25,2,1,0,0.09333333333333335,0.12912621359223297,0.12912621359223303,0.26266919667550226,0,1,0,1,1,
work_history_sufficient,235,515,0.6866666666666666,2,1.0,229,0.9744680851063829,235,0.9744680851063829,0.024880036215482116,22,78,0.78,2,1.0,21,0.9545454545454546,22,0.9545454545454546,0.04338842975206614,2,1,1,0.09333333333333338,0.019922630560928356,0.019922630560928356,0.10783298003517151,0,0,0,0,1,
hyperglycemia_status,460,290,0.38666666666666666,2,0.0,405,0.8804347826086957,460,0.11956521739130435,0.10526937618147449,67,33,0.33,2,0.0,61,0.9104477611940298,67,0.08955223880597014,0.08153263533080864,2,1,1,0.05666666666666664,0.030012978585334138,0.030012978585334207,0.09820493713197109,0,0,0,0,1,
serum_glucose,460,290,0.38666666666666666,94,92.0,22,0.04782608695652174,460,102.4608695652174,772.5789035916823,67,33,0.33,37,98.0,5,0.07462686567164178,67,98.80597014925372,263.02205390955663,95,0,,0.05666666666666664,0.026800778715120044,3.654899415963669,0.1606179970041867,0,0,0,0,1,
eGFR,461,289,0.38533333333333336,460,75.03700674528076,2,0.004338394793926247,461,73.62396568277096,223.40491571058197,68,32,0.32,68,92.54917886417147,1,0.014705882352941176,68,70.05065095178804,243.169045395754,526,0,,0.06533333333333335,0.01036748755901493,3.573314730982915,0.2339515994783177,0,0,0,0,1,
serum_cholesterol,461,289,0.38533333333333336,155,175.0,8,0.01735357917570499,461,196.35140997830803,1565.672606471831,68,32,0.32,49,150.0,3,0.04411764705882353,68,187.64705882352942,1106.0519031141869,160,0,,0.06533333333333335,0.026764067883118543,8.704351154778607,0.23815272970609946,0,0,0,0,1,
