column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
alcohol_abuse_duration_years,9,707,0.9874301675977654,7,10.0,2,0.2222222222222222,9,15.444444444444445,80.91358024691357,1,67,0.9852941176470588,1,15.0,1,1.0,1,15.0,,8,1,0.0,0.0021360499507064,0.7777777777777778,0.4444444444444446,0.0494090806176603,0,1,0,1,0,high_missingness
alcohol_drinks_per_day,9,707,0.9874301675977654,5,5.0,3,0.3333333333333333,9,4.444444444444445,3.580246913580247,1,67,0.9852941176470588,1,6.0,1,1.0,1,6.0,,6,1,0.0,0.0021360499507064,0.6666666666666667,1.5555555555555554,0.8221083073205848,0,1,1,1,0,high_missingness
alcohol_years_since_end,14,702,0.9804469273743016,12,31.0,3,0.2142857142857142,14,25.642857142857142,168.80102040816328,1,67,0.9852941176470588,1,10.0,1,1.0,1,10.0,,13,0,,0.0048471902727571,0.7857142857142857,15.642857142857142,1.204005706620501,0,0,1,1,0,high_missingness
smoking_duration_years,94,622,0.8687150837988827,32,10.0,19,0.202127659574468,94,17.75531914893617,165.12098234495247,11,57,0.8382352941176471,7,1.0,3,0.2727272727272727,11,12.363636363636363,111.1404958677686,33,0,,0.0304797896812356,0.0705996131528046,5.391682785299807,0.4587532617806299,0,0,0,0,1,
smoking_packs_per_day,94,622,0.8687150837988827,11,1.0,39,0.4148936170212766,94,1.2148936170212763,0.8621186057039384,11,57,0.8382352941176471,8,1.0,3,0.2727272727272727,11,1.836363636363636,7.402314049586778,12,0,,0.0304797896812356,0.1421663442940038,0.6214700193423597,0.3057233837785431,0,0,0,0,1,
smoking_years_since_quit,148,568,0.7932960893854749,48,40.0,15,0.1013513513513513,148,36.1554054054054,157.13125456537617,20,48,0.7058823529411765,17,25.0,3,0.15,20,31.45,146.3475,49,0,,0.0874137364442984,0.0486486486486486,4.705405405405404,0.3819863977863177,0,0,0,0,1,
work_history_sufficient,213,503,0.702513966480447,2,1.0,206,0.9671361502347418,213,0.9671361502347418,0.0317838171438647,18,50,0.7352941176470589,1,1.0,18,1.0,18,1.0,0.0,2,1,1.0,0.0327801511666119,0.0328638497652582,0.0328638497652582,0.2606936229533508,0,0,0,0,1,
hyperglycemia_status,453,263,0.3673184357541899,2,0.0,400,0.8830022075055187,453,0.1169977924944812,0.1033093090458995,42,26,0.3823529411764705,2,0.0,38,0.9047619047619048,42,0.0952380952380952,0.0861678004535147,2,1,1.0,0.0150345054222806,0.021759697256386,0.021759697256386,0.0706951257138009,0,0,0,0,1,
alcohol_burden,497,219,0.3058659217877095,13,0.0,485,0.9758551307847082,497,-0.0093086036955542,0.0136712230676954,49,19,0.2794117647058823,2,0.0,48,0.979591836734694,49,0.0035692214105996,0.0006114883909383,14,0,,0.0264541570818271,0.0037367059499856,0.0128778251061539,0.1523884982341574,0,0,0,0,1,
alcohol_abuse_history,503,213,0.297486033519553,2,0.0,485,0.9642147117296224,503,0.0357852882703777,0.0345047014137837,50,18,0.2647058823529412,2,0.0,48,0.96,50,0.04,0.0384,2,1,1.0,0.0327801511666118,0.0042147117296222,0.0042147117296222,0.02207522332824,0,0,0,0,1,
current_alcohol_abuse,503,213,0.297486033519553,2,0.0,497,0.9880715705765408,503,0.0119284294234592,0.0117861419949487,50,18,0.2647058823529412,2,0.0,49,0.98,50,0.02,0.0195999999999999,2,1,1.0,0.0327801511666118,0.0080715705765407,0.0080715705765407,0.0644323659284211,0,0,0,0,0,mode_dominance
current_smoking,503,213,0.297486033519553,2,0.0,449,0.8926441351888668,503,0.1073558648111332,0.0958305831017868,50,18,0.2647058823529412,2,0.0,47,0.94,50,0.06,0.0564,2,1,1.0,0.0327801511666118,0.0473558648111331,0.0473558648111332,0.171647631236903,0,0,0,0,1,
retired,704,12,0.0167597765363128,2,1.0,559,0.7940340909090909,704,0.7940340909090909,0.1635439533832644,67,1,0.0147058823529411,2,1.0,55,0.8208955223880597,67,0.8208955223880597,0.1470260637112942,2,1,1.0,0.0020538941833716,0.0268614314789688,0.0268614314789688,0.0681654628396258,0,0,0,0,1,
retired_lives_alone,704,12,0.0167597765363128,2,0.0,668,0.9488636363636364,704,0.0511363636363636,0.0485214359504132,67,1,0.0147058823529411,2,0.0,66,0.9850746268656716,67,0.0149253731343283,0.0147026063711294,2,1,1.0,0.0020538941833716,0.0362109905020352,0.0362109905020352,0.203664001584129,0,0,0,0,1,
community_dwelling,716,0,0.0,2,1.0,684,0.9553072625698324,716,0.9553072625698324,0.0426952966511656,68,0,0.0,2,1.0,65,0.9558823529411764,68,0.9558823529411764,0.0421712802768165,2,1,1.0,0.0,0.000575090371344,0.000575090371344,0.0027917900267917,0,0,0,0,1,
depression,716,0,0.0,2,0.0,607,0.8477653631284916,716,0.1522346368715083,0.1290592522081083,68,0,0.0,2,0.0,60,0.8823529411764706,68,0.1176470588235294,0.1038062283737024,2,1,1.0,0.0,0.0345875780479789,0.0345875780479789,0.1013637321706483,0,0,0,0,1,
diabetes,716,0,0.0,2,0.0,660,0.9217877094972068,716,0.0782122905027933,0.0720951281170999,68,0,0.0,2,0.0,63,0.9264705882352942,68,0.0735294117647058,0.0681228373702421,2,1,1.0,0.0,0.0046828787380874,0.0046828787380874,0.0176858557765092,0,0,0,0,1,
has_antidepressant_med,716,0,0.0,2,0.0,700,0.9776536312849162,716,0.0223463687150838,0.0218470085203333,68,0,0.0,2,0.0,67,0.9852941176470588,68,0.0147058823529411,0.0144896193771626,2,1,1.0,0.0,0.0076404863621426,0.0076404863621426,0.0566844179985915,0,0,0,0,1,
has_antihypertensive_med,716,0,0.0,2,0.0,632,0.88268156424581,716,0.1173184357541899,0.1035548203863799,68,0,0.0,2,0.0,62,0.9117647058823528,68,0.088235294117647,0.0804498269896193,2,1,1.0,0.0,0.0290831416365429,0.0290831416365428,0.0958830676260998,0,0,0,0,1,
has_baseline_row,716,0,0.0,1,1.0,716,1.0,716,1.0,0.0,68,0,0.0,1,1.0,68,1.0,68,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
has_diabetes_med,716,0,0.0,2,0.0,710,0.9916201117318436,716,0.0083798882681564,0.0083096657407696,68,0,0.0,2,0.0,66,0.9705882352941176,68,0.0294117647058823,0.0285467128027681,2,1,1.0,0.0,0.0210318764377259,0.0210318764377259,0.1549304169136977,0,0,0,0,0,mode_dominance
