column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
alcohol_abuse_duration_years,10,762,0.9870466321243523,7,10.0,3,0.3,10,17.1,42.49,4,116,0.9666666666666667,4,1.0,1,0.25,4,16.5,109.25,9,1,0,0.02037996545768561,0.04999999999999999,0.6000000000000014,0.06888365903182922,0,1,0,1,0,high_missingness
alcohol_drinks_per_day,10,762,0.9870466321243523,6,3.0,4,0.4,10,4.9,6.69,4,116,0.9666666666666667,4,4.0,1,0.25,4,5.75,2.1875,7,1,0,0.02037996545768561,0.15000000000000002,0.8499999999999996,0.4034489439920937,0,1,0,1,0,high_missingness
alcohol_years_since_end,14,758,0.9818652849740933,10,31.0,3,0.21428571428571427,14,21.571428571428573,139.6734693877551,5,115,0.9583333333333334,5,39.0,1,0.2,5,24.8,206.95999999999998,15,0,,0.02353195164075994,0.014285714285714263,3.2285714285714278,0.24523934639711586,0,0,0,0,0,high_missingness
smoking_duration_years,106,666,0.8626943005181347,33,10.0,20,0.18867924528301888,106,19.11320754716981,191.9305802776789,19,101,0.8416666666666667,12,20.0,4,0.21052631578947367,19,16.894736842105264,225.35734072022163,37,0,,0.021027633851467997,0.02184707050645479,2.218470705064547,0.15358570275932096,0,0,0,0,0,high_missingness
smoking_packs_per_day,106,666,0.8626943005181347,12,1.0,44,0.41509433962264153,106,1.3481132075471698,2.3141945532217867,19,101,0.8416666666666667,6,1.0,7,0.3684210526315789,19,0.8368421052631579,0.4749584487534626,12,0,,0.021027633851467997,0.0466732869910626,0.5112711022840118,0.43294235488139154,0,0,0,0,0,high_missingness
smoking_years_since_quit,156,616,0.7979274611398963,50,40.0,11,0.07051282051282051,156,34.756410256410255,170.81245890861277,36,84,0.7,25,40.0,4,0.1111111111111111,36,35.416666666666664,193.24305555555554,53,0,,0.09792746113989637,0.04059829059829059,0.6602564102564088,0.0489377296326675,0,0,0,0,0,high_missingness
work_history_sufficient,240,532,0.689119170984456,2,1.0,233,0.9708333333333333,240,0.9708333333333333,0.028315972222222218,28,92,0.7666666666666667,1,1.0,28,1.0,28,1.0,0.0,2,1,1,0.07754749568221075,0.029166666666666674,0.029166666666666674,0.24512412551577065,0,0,0,0,0,mode_dominance
hyperglycemia_status,479,293,0.3795336787564767,2,0.0,429,0.8956158663883089,479,0.10438413361169102,0.09348808626182767,77,43,0.35833333333333334,2,0.0,66,0.8571428571428571,77,0.14285714285714285,0.12244897959183673,2,1,1,0.021200345423143363,0.03847300924545183,0.03847300924545183,0.11708669753099718,0,0,0,0,0,mode_dominance
alcohol_burden,527,245,0.3173575129533679,12,0.0,516,0.9791271347248577,527,-0.005415929462302668,0.003352020637306396,91,29,0.24166666666666667,6,0.0,86,0.945054945054945,91,-0.01845000428185101,0.04545265120777748,17,0,,0.07569084628670122,0.034072189669912656,0.013034074819548342,0.08343811977632253,0,0,0,0,0,mode_dominance
alcohol_abuse_history,532,240,0.31088082901554404,2,0.0,516,0.9699248120300752,532,0.03007518796992481,0.029170671038498505,92,28,0.23333333333333334,2,0.0,86,0.9347826086956522,92,0.06521739130434782,0.060964083175803416,2,1,1,0.0775474956822107,0.03514220333442297,0.035142203334423014,0.16553805407525488,0,0,0,0,0,mode_dominance
current_alcohol_abuse,532,240,0.31088082901554404,2,0.0,527,0.9906015037593985,532,0.009398496240601503,0.009310164509016904,92,28,0.23333333333333334,2,0.0,91,0.9891304347826086,92,0.010869565217391304,0.010751417769376175,2,1,1,0.0775474956822107,0.0014710689767898355,0.0014710689767898008,0.014688093990941743,0,0,0,0,0,mode_dominance
current_smoking,532,240,0.31088082901554404,2,0.0,474,0.8909774436090225,532,0.10902255639097744,0.09713663858895359,92,28,0.23333333333333334,2,0.0,86,0.9347826086956522,92,0.06521739130434782,0.060964083175803395,2,1,1,0.0775474956822107,0.04380516508662968,0.04380516508662961,0.15580213079660726,0,0,0,0,0,mode_dominance
retired,757,15,0.019430051813471502,2,1.0,609,0.8044914134742405,757,0.8044914134742405,0.15728497912045916,120,0,0.0,2,1.0,90,0.75,120,0.75,0.1875,2,1,1,0.019430051813471502,0.05449141347424047,0.05449141347424047,0.1312408101602911,0,0,0,0,0,mode_dominance
retired_lives_alone,757,15,0.019430051813471502,2,0.0,719,0.9498018494055482,757,0.05019815059445178,0.04767829627134854,120,0,0.0,2,0.0,115,0.9583333333333334,120,0.041666666666666664,0.03993055555555557,2,1,1,0.019430051813471502,0.008531483927785133,0.008531483927785119,0.04076294758395102,0,0,0,0,0,mode_dominance
obesity,771,1,0.0012953367875647669,2,0.0,599,0.7769130998702983,771,0.2230869001297017,0.17331913512022218,119,1,0.008333333333333333,2,0.0,84,0.7058823529411765,119,0.29411764705882354,0.2076124567474049,2,1,1,0.007037996545768566,0.07103074692912181,0.07103074692912184,0.16275632821263547,0,0,0,0,0,mode_dominance
community_dwelling,772,0,0.0,2,1.0,742,0.961139896373057,772,0.961139896373057,0.037349995973046245,120,0,0.0,2,1.0,113,0.9416666666666667,120,0.9416666666666667,0.054930555555555545,2,1,1,0.0,0.019473229706390316,0.019473229706390316,0.09065627994016569,0,0,0,0,0,mode_dominance
depression,772,0,0.0,2,0.0,648,0.8393782383419689,772,0.16062176165803108,0.1348224113399017,120,0,0.0,2,0.0,106,0.8833333333333333,120,0.11666666666666667,0.10305555555555553,2,1,1,0.0,0.04395509499136441,0.04395509499136441,0.1274521340835325,0,0,0,0,0,mode_dominance
diabetes,772,0,0.0,2,0.0,718,0.9300518134715026,772,0.06994818652849741,0.06505543772987193,120,0,0.0,2,0.0,107,0.8916666666666667,120,0.10833333333333334,0.0965972222222222,2,1,1,0.0,0.038385146804835846,0.03838514680483593,0.13501647837924785,0,0,0,0,0,mode_dominance
has_antidepressant_med,772,0,0.0,2,0.0,753,0.9753886010362695,772,0.02461139896373057,0.024005678004778656,120,0,0.0,2,0.0,119,0.9916666666666667,120,0.008333333333333333,0.00826388888888889,2,1,1,0.0,0.016278065630397243,0.016278065630397236,0.12815077138618677,0,0,0,0,0,mode_dominance
has_antihypertensive_med,772,0,0.0,2,0.0,683,0.8847150259067358,772,0.11528497409326424,0.10199434884157965,120,0,0.0,2,0.0,102,0.85,120,0.15,0.12749999999999997,2,1,1,0.0,0.03471502590673581,0.03471502590673575,0.10248174073494028,0,0,0,0,0,mode_dominance
has_baseline_row,772,0,0.0,1,1.0,772,1.0,772,1.0,0.0,120,0,0.0,1,1.0,120,1.0,120,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,constant_in_train
