feature,importance
cdrsb,22.333324278127378
logical_memory_delayed,5.4371470771056085
adas11_total,4.653561976669022
plasma_ptau217_abeta42_ratio,4.482629776632534
adas13_total,4.407020880908085
logical_memory_retention_ratio,4.357302483795681
baseline_musculoskeletal_pain,4.307770129658909
hachinski_hypertension_history,3.9614167967255924
faq_total,3.9246098682107045
plasma_ptau217,3.7357263870313
adas_q4_q14_delta,3.627153526333095
logical_memory_immediate,2.8341178754515988
csf_ptau_tau_ratio,2.670584080377611
plasma_abeta42_abeta40_ratio,2.608381100150681
vitamin_b12,2.59443240821622
hemoglobin,2.552373275268592
csf_ptau_abeta42_ratio,2.425505366669203
csf_tau_abeta42_ratio,1.960521624355766
symptom_burden_baseline,1.924485537500877
mmse_total,1.9139312859095632
hachinski_total_score,1.8742525124492884
plasma_abeta42,1.8112912915508133
csf_ptau,1.7765383922042217
trail_a_time,1.6472088839881762
faq_any_impairment,1.5293603004211833
csf_abeta42,1.3713791335221708
csf_tau,1.258884027502739
gds_depression_severity,1.2514610957489747
neurovascular_burden,0.7676286275143934
