feature,importance
serum_cholesterol,10.86131424614657
smoking_history,9.58010793083225
renal_dysfunction,8.890456807649985
eGFR,7.398187350283665
serum_creatinine,7.297874840000865
heart_disease,5.247448411560742
serum_glucose,5.196952910966787
years_retired,3.848929100058634
lifestyle_risk_count,3.4223928327601465
BMI,3.077664598678043
libra_supported_late_life_raw,2.7188927641721
modifiable_risk_core_count,2.5992225615581477
weight_kg,2.439266306931896
tobacco_burden,2.3897960342452276
libra_supported_rescaled_0_100,2.382350268358368
social_structural_engagement,2.1735846646092374
ses_score,2.0858130196420395
height_m,2.007686385215772
education_years,1.9274807901652227
metabolic_risk_count,1.8604133128483273
social_isolation_score,1.7641488738394344
education_retired,1.625267443154919
vascular_treatment_gap,1.583704431453588
diastolic_bp,1.4566593479350343
hypertension,1.3224948867107562
pulse,1.1607204930632324
married_homeowner,1.099362398350314
vascular_risk_count,1.0181896929669016
systolic_bp,0.8199722048403639
libra_supported_raw,0.7436450910014623
