feature,importance
cdrsb,35.46769016755477
logical_memory_delayed,7.4949163506367364
logical_memory_retention_ratio,5.197416491424174
faq_total,5.006646039214869
plasma_ptau217,4.171847821131733
faq_any_impairment,4.103882511371975
baseline_musculoskeletal_pain,3.80788944986471
plasma_ptau217_abeta42_ratio,3.643591615959769
adas_q4_q14_delta,3.3068437848989145
adas13_total,2.9660035271684397
hachinski_hypertension_history,2.9483688412236617
adas11_total,2.939558390382861
plasma_abeta42_abeta40_ratio,2.213742518321685
vitamin_b12,2.0863225693249943
logical_memory_immediate,1.9197712995025609
csf_tau_abeta42_ratio,1.7252250173250419
csf_ptau_abeta42_ratio,1.6550845919907837
hemoglobin,1.418299537557314
mmse_total,1.2001922911914387
symptom_burden_baseline,1.0636927866523476
csf_ptau,0.9738712990022546
plasma_abeta42,0.9733816772305538
hachinski_total_score,0.9481498041827258
csf_ptau_tau_ratio,0.7878608001483018
csf_tau,0.6324319069858345
trail_a_time,0.48618906790396355
neurovascular_burden,0.4415257973591831
csf_abeta42,0.419604044488434
