feature,importance
cdrsb_x_education,17.527578876084736
cdrsb,17.157497388979383
logical_memory_delayed,5.291963015505312
adas13_total,4.698320179422246
abeta_ratio_x_glucose,4.459269635564257
adas11_total,3.988500695163806
logical_memory_retention_ratio,3.6379529664287795
faq_total,3.1225710331619596
hachinski_hypertension_history,2.9744876781405507
plasma_ptau217_abeta42_ratio,2.527171935692359
csf_tau_abeta42_ratio,2.389008273608216
hachinski_total_score,2.2236217104650824
tau_x_egfr,2.217188288851184
adas_q4_q14_delta,2.1715758553605036
logical_memory_immediate,2.1088910586222887
plasma_ptau217,2.0668295496812386
faq_any_impairment,1.8771975138911308
hemoglobin,1.6081211558489974
baseline_musculoskeletal_pain,1.5264289518742085
plasma_abeta42_abeta40_ratio,1.4958434673276546
csf_ptau_abeta42_ratio,1.390417809556022
symptom_burden_baseline,1.377729742109466
mmse_total,1.3266461213567398
gds_depression_severity,1.2241667107459813
trail_a_time,1.2034996236873112
csf_abeta42,1.1178405218858167
vitamin_b12,1.0728536494785301
csf_ptau_tau_ratio,1.058565293558827
memory_x_heart_disease,1.0561306267982735
csf_ptau,1.0137472577093676
csf_tau,1.0129577643975343
plasma_abeta42,0.7838474997514789
ptau217_x_hypertension,0.7115762291704999
neurovascular_burden,0.5800019201202641
