feature,importance
cdrsb,26.18862148003981
logical_memory_delayed,6.747654602423791
plasma_abeta42,3.381684677132589
plasma_abeta42_abeta40_ratio,3.2680632407410672
hachinski_hypertension_history,3.13679719790701
plasma_ptau217_abeta42_ratio,3.098066860110811
csf_tau_abeta42_ratio,2.7660316727235137
adas13_total,2.717851771104561
plasma_ptau217,2.4945768458940196
logical_memory_immediate,2.4562397374605913
logical_memory_retention_ratio,2.2931468961085484
faq_total,2.2844147078713406
adas11_total,2.067021943289905
adas_q4_q14_delta,1.9329351470314193
diastolic_bp,1.910042803423146
tobacco_burden,1.8254393190014186
trail_a_time,1.6726356419388122
csf_ptau_abeta42_ratio,1.6456859577162783
faq_any_impairment,1.604416401516137
pulse,1.4821201975351603
baseline_musculoskeletal_pain,1.2936170778904037
mmse_total,1.2543735055691885
serum_glucose,1.173214231991947
gds_depression_severity,1.1274487005000702
years_retired,1.094271474881222
vitamin_b12,1.086286948250347
serum_cholesterol,1.0475437561297734
BMI,0.9773189099567137
eGFR,0.9517665662861604
vascular_treatment_gap,0.9485553109696818
csf_tau,0.9115778225428879
hachinski_total_score,0.8771065379839256
smoking_history,0.8382050639190582
renal_dysfunction,0.7985077875163746
systolic_bp,0.7924076560104197
education_years,0.7674791596996567
lifestyle_risk_count,0.7541008498061061
csf_abeta42,0.7313113846074446
csf_ptau_tau_ratio,0.6848855313871313
education_retired,0.646221576621673
hypertension,0.6289364913630369
height_m,0.6181396497248615
ses_score,0.6016492230580688
weight_kg,0.5794511988917482
csf_ptau,0.5768486642075759
serum_creatinine,0.5094027701723739
symptom_burden_baseline,0.45613829405827655
libra_supported_raw,0.44927073830675257
heart_disease,0.3514531405053181
hemoglobin,0.25500560743563183
vascular_risk_count,0.23632085527136937
libra_supported_late_life_raw,0.22841842589827144
metabolic_risk_count,0.20875197713619453
neurovascular_burden,0.17052170361941368
libra_supported_rescaled_0_100,0.1386273766873183
social_isolation_score,0.09771751367677091
social_structural_engagement,0.07333061875091179
modifiable_risk_core_count,0.052498372074308255
married_homeowner,0.037870425671678455
