feature,importance
height_m,7.7179190407127765
systolic_bp,7.081847137887307
pulse,5.965721031245719
eGFR,5.687864280316996
weight_kg,5.541269019944638
years_retired,5.276464253549358
BMI,5.236172372412674
diastolic_bp,4.905112663837711
serum_cholesterol,4.345752144127505
serum_glucose,3.6061073290935908
education_years,3.1759183364515318
libra_supported_rescaled_0_100,2.9764045396818863
ses_score,2.6939312958791284
serum_creatinine,2.451315252444453
libra_supported_late_life_raw,2.173998267878789
libra_supported_raw,2.138856178025209
education_retired,2.0477062349166983
lifestyle_risk_count,2.0388716830550067
tobacco_burden,1.7208023512965547
smoking_years_since_quit,1.6435845458221774
modifiable_risk_core_count,1.307134465152282
metabolic_risk_count,1.2403177053825094
social_structural_engagement,1.174008667456961
vascular_treatment_gap,1.1710537516182264
heart_disease,1.0791118457177022
has_antihypertensive_med,1.055035914975883
vascular_risk_count,0.9923662795426255
smoking_packs_per_day,0.9291731612500207
retired,0.9087856593752204
alcohol_burden,0.8694746214673726
renal_dysfunction,0.8327287907518061
obesity,0.7395909435530409
married_homeowner,0.6869926194592881
smoking_duration_years,0.6535641138900349
hyperglycemia_status,0.6479952762627927
depression,0.6447424196645039
current_smoking,0.6341122122397096
work_history_sufficient,0.6137490159345792
social_isolation_score,0.610852080289449
has_lipid_med,0.558753352304526
retired_lives_alone,0.520966963930496
alcohol_abuse_history,0.5042402635927923
current_alcohol_abuse,0.48871569254251324
partnered,0.4872123758394397
alcohol_years_since_end,0.28474529708537705
smoking_history,0.2689714443949763
high_cholesterol,0.25112252512430866
hypertension,0.232100205295876
homeowner,0.18590601964365772
has_antidepressant_med,0.1707989225855032
community_dwelling,0.1657068846164787
lives_alone,0.16097920994187595
alcohol_abuse_duration_years,0.13785854374945777
alcohol_drinks_per_day,0.13375744197052966
diabetes,0.12499223168793168
has_diabetes_med,0.10676512313052915
has_baseline_row,0.0
has_screening_row,0.0
screening_fallback_allowed,0.0
