feature,importance
cdrsb,32.97166871589441
logical_memory_delayed,6.263205480090482
plasma_ptau217_abeta42_ratio,4.260727554913233
adas13_total,3.2187530872627987
faq_any_impairment,3.035786046033291
plasma_ptau217,2.9775621843979745
logical_memory_retention_ratio,2.7566430145763094
plasma_abeta42_abeta40_ratio,2.5775468484627795
logical_memory_immediate,2.5100787324669125
adas_q4_q14_delta,2.193958232392794
adas11_total,2.090857619358405
plasma_abeta42,1.7450401434085083
csf_ptau_abeta42_ratio,1.406656793514441
baseline_blurred_vision,1.4019762412619763
faq_total,1.3399217792372382
csf_ptau,1.1388198609461357
baseline_headache,1.1208201368481638
faq_forms,1.0871624881250324
csf_tau_abeta42_ratio,1.0839282232743344
trail_a_time,1.0722854481500972
baseline_insomnia,0.989282274122095
faq_reminders,0.97979193061136
baseline_vomiting,0.9745120420631423
baseline_fall,0.9521732350603788
baseline_depressed_mood,0.9219580317974932
baseline_chest_pain,0.9115000273153686
csf_abeta42,0.9086516405735482
vitamin_b12,0.9070952272145746
csf_ptau_tau_ratio,0.8320640038461231
baseline_musculoskeletal_pain,0.7908070014911914
symptom_burden_baseline,0.7708780677217376
mmse_total,0.7573628706210813
hemoglobin,0.7345978204669201
hachinski_hypertension_history,0.7269528611332816
somatic_complaints,0.7223817263474371
gds_depression_severity,0.699395114784888
faq_events,0.6615738406791366
csf_tau,0.6411755722187285
hachinski_total_score,0.5973251798248902
hachinski_stroke_history,0.5493500181739177
faq_travel,0.5402508796143287
csf_abeta42_abeta40_ratio,0.382075118406552
faq_meal_prep,0.3723735282001319
faq_tv,0.36458012933367767
faq_finances,0.32989536022052135
npi_sleep_item_score,0.3263027445730727
faq_shopping,0.3255903090337831
faq_games,0.3082404775133646
csf_abeta40,0.2650444362164343
baseline_stroke,0.2578252626129861
neurovascular_burden,0.21729630221082682
faq_beverages,0.20878517620024756
npi_depression_item_score,0.20392319292497585
delayed_cue_used,0.19542953778491742
NPID5,0.19153822158165248
NPIK1,0.18756034622801995
NPIK4,0.18128036963069086
NPIK2,0.17942961853536166
NPID3,0.16536502700655117
NPID9A,0.15905266355271844
NPID9C,0.13293302811731583
NPIK7,0.13243570827619255
NPIK9A,0.13226746902645412
physical_heart_exam_abnormal,0.131930174659832
NPID2,0.13176101103340318
NPIK9B,0.13154838557682222
NPID1,0.12704602809460624
NPIK8,0.12424125261842416
NPID8,0.11876629795270244
NPIK6,0.10916130887450495
NPID4,0.10401963586647611
NPIK9C,0.1034858553728168
symptom_burden_current,0.09866634379411673
NPID7,0.09767347656798009
NPID6,0.09406653718682637
NPIK3,0.09118167343014141
NPID9B,0.08843709719171534
npi_sleep_symptom_count,0.07910384936913534
npi_depression_symptom_count,0.07891116673395368
auditory_impairment,0.06804187334998602
peripheral_vascular_exam_abnormal,0.05021170339872175
npi_sleep_severity,0.03191140153733948
NPIK5,0.03045043931057665
fall_symptom,0.02183381099390691
gait_abnormality,0.02121877944422921
insomnia_symptom,0.011686613174670657
depressed_mood_symptom,0.0097236943199638
chest_pain_symptom,0.002757386323893346
blurred_vision_symptom,0.00036384872388815716
headache_symptom,9.307435031149671e-05
musculoskeletal_pain_symptom,5.257265670204707e-06
screening_fallback_allowed,0.0
has_screening_row,0.0
has_baseline_row,0.0
npi_depression_severity,0.0
