feature,importance
cdrsb,14.727030073770585
logical_memory_delayed,6.422277969612986
logical_memory_retention_ratio,4.596358872034596
plasma_ptau217_abeta42_ratio,4.271966140218781
baseline_musculoskeletal_pain,4.243124035756031
hachinski_hypertension_history,3.8942893797759437
adas_q4_q14_delta,3.845083549067113
adas13_total,3.8382282222820336
faq_total,3.566993148104262
logical_memory_immediate,3.5558077117285123
faq_any_impairment,3.518461012451014
plasma_ptau217,3.4495962530973046
hemoglobin,3.100819434071944
adas11_total,3.0806208900801635
vitamin_b12,3.0247352589914374
plasma_abeta42_abeta40_ratio,2.921183265234625
symptom_burden_baseline,2.882341768344107
plasma_abeta42,2.4096707450935155
csf_ptau_abeta42_ratio,2.2861858386792604
csf_tau_abeta42_ratio,2.268395183050293
csf_abeta42,2.2376422159715403
mmse_total,2.2000407955133836
csf_ptau_tau_ratio,2.160727678725437
trail_a_time,2.0988958561262647
csf_tau,1.9692638004069372
csf_ptau,1.943315531887506
gds_depression_severity,1.9207693697334953
hachinski_total_score,1.78373495746565
neurovascular_burden,1.7824410427252868
