feature,importance
cdrsb,26.2923382693758
adas13_total,5.458794472057587
faq_any_impairment,5.4046135150440815
baseline_musculoskeletal_pain,5.400901587123488
logical_memory_delayed,4.9940710935535755
logical_memory_retention_ratio,4.900377394348373
plasma_ptau217,3.836262394892213
logical_memory_immediate,3.7472216225820607
adas_q4_q14_delta,3.0256000324553174
plasma_abeta42,2.936673561635692
faq_total,2.587395107980862
plasma_ptau217_abeta42_ratio,2.587063625423469
plasma_abeta42_abeta40_ratio,2.507788310664065
hachinski_hypertension_history,2.4967822026391127
adas11_total,2.3216718324929597
csf_ptau_abeta42_ratio,2.2288253643320686
hemoglobin,2.2132958159323763
vitamin_b12,2.206368999482064
csf_tau_abeta42_ratio,1.629821630927065
mmse_total,1.5793719712309078
csf_abeta42,1.5789783133802155
symptom_burden_baseline,1.5539644773498764
csf_ptau_tau_ratio,1.5293058329748648
csf_tau,1.4625705049906916
trail_a_time,1.3908008043762152
neurovascular_burden,1.1840853033056054
csf_ptau,1.1377692862104463
gds_depression_severity,0.9462083887897641
hachinski_total_score,0.8610782844491783
