feature,importance
depression_severity,34.67529106310396
serum_creatinine,11.398426344584902
eGFR,8.34984616814407
serum_cholesterol,7.949959365322714
serum_glucose,6.658914917787925
BMI,4.630065170988274
diastolic_bp,4.500704097058366
systolic_bp,3.2960022675037695
smoking_history,2.4630365597968344
weight_kg,2.3753928954947794
renal_dysfunction,2.2981489034387352
years_retired,1.5105945969423662
lifestyle_risk_count,1.4587111955749268
heart_disease,1.3002974711312567
height_m,0.8447709138347801
metabolic_risk_count,0.8295129731396765
education_years,0.7468634043915079
libra_supported_rescaled_0_100,0.7443668503885533
ses_score,0.6661654186813887
married_homeowner,0.6280213782400391
libra_supported_raw,0.5705223010644244
pulse,0.5488231039010187
tobacco_burden,0.5387405578063096
education_retired,0.31556339764152624
libra_supported_late_life_raw,0.26022341114466774
modifiable_risk_core_count,0.249223725922719
social_structural_engagement,0.0987296515504878
social_isolation_score,0.04061150678220711
vascular_risk_count,0.022437652983396932
vascular_treatment_gap,0.01950924045328994
hypertension,0.010523495201153513
