feature,importance
cdrsb,44.23954160774669
logical_memory_delayed,4.904610649266071
baseline_musculoskeletal_pain,4.73399938816349
logical_memory_immediate,4.470543456044515
adas13_total,3.9176962059277907
plasma_ptau217,3.6403164712290996
faq_total,3.1573656678798185
plasma_ptau217_abeta42_ratio,2.7279479992762665
logical_memory_retention_ratio,2.6891010551079857
vitamin_b12,2.147935890545106
plasma_abeta42_abeta40_ratio,2.0015159847751227
faq_any_impairment,1.9163256631056353
symptom_burden_baseline,1.8798922283566872
adas_q4_q14_delta,1.6302343796994105
csf_abeta42,1.5944324964194934
adas11_total,1.5573120341493791
csf_ptau_abeta42_ratio,1.3376591445680304
csf_ptau_tau_ratio,1.3255283011823744
gds_depression_severity,1.3161861851072005
trail_a_time,1.1840947848851118
hemoglobin,1.121597857966504
mmse_total,1.0712787146399725
csf_ptau,1.020333555341388
hachinski_total_score,0.9933941608107801
csf_tau_abeta42_ratio,0.9187066164092903
plasma_abeta42,0.7976489519819957
csf_tau,0.7471737668306241
hachinski_hypertension_history,0.6763031417574271
neurovascular_burden,0.28132364082673283
