feature,importance
cdrsb,4.007821
csf_tau,3.6790955
plasma_ptau217_abeta42_ratio,3.675222
faq_total,3.627987
logical_memory_delayed,3.5808456
csf_ptau_tau_ratio,3.5698295
hemoglobin,3.558969
mmse_total,3.558968
vitamin_b12,3.5554814
csf_abeta42,3.540637
plasma_abeta42,3.478518
adas13_total,3.4776077
csf_tau_abeta42_ratio,3.4631274
gds_depression_severity,3.4145384
adas_q4_q14_delta,3.41308
faq_any_impairment,3.4003325
adas11_total,3.3934648
symptom_burden_baseline,3.3903306
plasma_abeta42_abeta40_ratio,3.388865
baseline_musculoskeletal_pain,3.3821304
hachinski_hypertension_history,3.3694296
logical_memory_immediate,3.349164
plasma_ptau217,3.3195424
logical_memory_retention_ratio,3.3079412
csf_ptau_abeta42_ratio,3.2700505
hachinski_total_score,3.2671566
trail_a_time,3.2360463
neurovascular_burden,3.215952
csf_ptau,3.107865
