feature,importance
education_years,4.337925970130629
height_m,4.333013612459542
systolic_bp,4.039183418908334
years_retired,3.973652531218596
BMI,3.8185643086654855
education_retired,3.5871123364512214
pulse,3.5183311375933535
eGFR,3.3954942212215897
smoking_years_since_quit,3.212824559724724
libra_supported_rescaled_0_100,3.2059599303162187
serum_glucose,2.9943994648240793
diastolic_bp,2.955306251404211
weight_kg,2.90624388508513
ses_score,2.8386735408360493
tobacco_burden,2.8044099087136973
lifestyle_risk_count,2.756232075537804
libra_supported_raw,2.4314507888301318
serum_cholesterol,2.2896997834222104
metabolic_risk_count,2.239108142135274
vascular_risk_count,2.1682109929595272
smoking_duration_years,2.129062688015341
social_isolation_score,2.107304078630674
vascular_treatment_gap,2.0855350836963824
renal_dysfunction,2.0221347289420835
libra_supported_late_life_raw,1.9585230640812878
social_structural_engagement,1.943980878382381
current_smoking,1.929609400160474
heart_disease,1.817846046977555
serum_creatinine,1.8167307655930298
smoking_packs_per_day,1.7986751405385397
modifiable_risk_core_count,1.7769700950427194
alcohol_burden,1.6176279553660886
alcohol_abuse_history,1.580443142998866
hyperglycemia_status,1.5492027078975554
retired,1.0872382364627524
smoking_history,1.025577711998449
obesity,0.9872064943062145
retired_lives_alone,0.9611444549759142
has_antihypertensive_med,0.8311617887628555
partnered,0.7202592416658412
has_lipid_med,0.7196869942859507
work_history_sufficient,0.6783787984337254
hypertension,0.5187629211716194
high_cholesterol,0.49396730614151974
lives_alone,0.42356095878372546
community_dwelling,0.3767357792387794
diabetes,0.29503421064069124
married_homeowner,0.26761310154423784
homeowner,0.24658448352766688
depression,0.2448286952184159
has_antidepressant_med,0.18281618608085673
