feature,median_correct,median_error,mw_statistic,p_value,n_correct,n_error
serum_glucose,97.0,90.0,2434.0,0.007882286182349898,107,35
vascular_treatment_gap,0.0,0.0,6763.5,0.06779064130924915,165,73
serum_creatinine,0.95,1.0,1513.0,0.07421134034850596,108,35
eGFR,72.37608511865562,66.43659409682944,2210.5,0.13296854552691226,108,35
serum_cholesterol,189.5,179.0,2161.0,0.20399428224641902,108,35
metabolic_risk_count,1.0,1.0,6548.5,0.24759068038249565,165,73
tobacco_burden,0.0,0.0,2201.5,0.2881948902636212,111,44
vascular_risk_count,1.0,1.0,6453.0,0.3641985857370549,165,73
married_homeowner,1.0,1.0,5693.5,0.41777817655596405,165,73
pulse,64.0,64.0,5641.5,0.43686247377972076,165,73
modifiable_risk_core_count,2.0,2.0,6393.5,0.43693134642209697,165,73
lifestyle_risk_count,0.3333333333333333,0.3333333333333333,5675.5,0.4416078705358285,165,73
systolic_bp,134.0,134.0,5666.0,0.46709220857950684,165,73
diastolic_bp,74.0,76.0,5667.0,0.46808092772665055,165,73
smoking_history,0.0,0.5,2700.0,0.524206731525744,119,48
libra_supported_raw,2.6,2.1,6325.0,0.5359865358881977,165,73
BMI,26.9006885561382,25.962494289434296,6229.5,0.5515915792928869,165,72
years_retired,11.0,13.0,3656.5,0.5537765318574399,131,59
social_structural_engagement,0.6666666666666666,0.6666666666666666,5778.5,0.5614498801937067,165,73
heart_disease,1.0,1.0,2741.5,0.6113276982951048,119,48
weight_kg,76.2,76.248877397,6187.0,0.6115729448023386,165,72
social_isolation_score,1.0,1.0,6230.0,0.6237371586550946,165,73
hypertension,0.0,0.0,6175.5,0.7164209845414051,165,73
height_m,1.6967199999999998,1.69,6175.5,0.7554403073424171,165,73
ses_score,0.5685200459457955,0.6566233102227473,5883.0,0.775506685043315,165,73
libra_supported_rescaled_0_100,22.41379310344828,21.55172413793104,6143.0,0.8059354965092208,165,73
education_retired,16.0,16.0,5927.5,0.8405874822748165,162,72
libra_supported_late_life_raw,1.4,1.4,5953.5,0.8864170716070052,165,73
renal_dysfunction,1.0,1.0,2821.0,0.8877294010638299,119,48
education_years,16.0,16.0,6061.0,0.9370927206667429,165,73
