feature,importance
cdrsb,22.96014601517279
logical_memory_delayed,6.18702916381738
logical_memory_retention_ratio,3.4347610894591725
plasma_ptau217_abeta42_ratio,3.4018488557629722
vitamin_b12,3.3219388432577452
adas13_total,3.073056044796417
adas11_total,2.7816721381241556
logical_memory_immediate,2.5212121986962415
csf_ptau_tau_ratio,2.383764953632278
faq_total,2.2194149370418232
plasma_ptau217,2.1667048412984817
trail_a_time,2.15645872217972
csf_tau,2.1219122716556056
hemoglobin,2.054608820881407
adas_q4_q14_delta,1.9957735199633695
faq_any_impairment,1.8119512538038827
csf_tau_abeta42_ratio,1.7948122399630038
csf_ptau_abeta42_ratio,1.7790347155099417
baseline_chest_pain,1.363344406906604
csf_ptau,1.3547409898945573
gds_depression_severity,1.2389702900225132
baseline_fall,1.2157688280611636
csf_abeta42,1.2002020241218807
symptom_burden_baseline,1.1490827642313195
faq_events,1.1093472141189369
baseline_musculoskeletal_pain,1.051558163693429
plasma_abeta42_abeta40_ratio,0.9958447962461483
faq_finances,0.9260834429840858
baseline_vomiting,0.9072689490041583
faq_games,0.8851052483121433
faq_forms,0.8797757428739439
faq_reminders,0.8631148564983764
baseline_blurred_vision,0.8512252467073005
mmse_total,0.8507476325891135
baseline_insomnia,0.8487519358361395
plasma_abeta42,0.806040137335762
baseline_headache,0.7878673722348104
csf_abeta42_abeta40_ratio,0.7840487679440187
baseline_depressed_mood,0.7171159485034421
hachinski_total_score,0.7033464744548444
npi_depression_item_score,0.6703040367977479
csf_abeta40,0.6599831831660021
neurovascular_burden,0.653276390312765
faq_travel,0.6496543966002986
faq_meal_prep,0.5732971962970729
hachinski_hypertension_history,0.5646548684225985
npi_sleep_item_score,0.48207659356189503
faq_tv,0.4023372003048668
hachinski_stroke_history,0.39085426660647593
somatic_complaints,0.3493018039208529
baseline_stroke,0.31541132858295595
faq_beverages,0.31166274876943756
physical_heart_exam_abnormal,0.29874037475916154
faq_shopping,0.2874266950917978
auditory_impairment,0.27559596190660346
gait_abnormality,0.21694863695284794
NPIK4,0.20957744729329425
NPID3,0.19578227164088494
NPID9C,0.18352826710647113
NPIK6,0.18135750856253446
NPID1,0.17054976897403334
NPIK2,0.17032134134363375
NPID7,0.15660652598541988
NPID9A,0.13944056665919566
NPIK8,0.12933556133795074
NPID9B,0.11931968499642602
fall_symptom,0.11402428628807582
NPIK7,0.11268658982374072
NPID2,0.10877393839050802
NPID8,0.10765727271050056
delayed_cue_used,0.10624906174786108
NPIK1,0.09524008229791195
NPID5,0.08754768600448727
npi_depression_symptom_count,0.08669188895725306
NPIK9C,0.08460406096925095
symptom_burden_current,0.0831924028816062
NPIK9A,0.08161654179853298
NPIK9B,0.0807070428880852
NPID6,0.07544766705144344
npi_sleep_symptom_count,0.07478354564811959
NPID4,0.07335276205839296
NPIK3,0.065466714872352
NPIK5,0.04666555379965866
depressed_mood_symptom,0.03899833902857089
peripheral_vascular_exam_abnormal,0.02769441264855043
insomnia_symptom,0.02114820913544093
npi_sleep_severity,0.009560920266573267
musculoskeletal_pain_symptom,0.004949946976285403
blurred_vision_symptom,0.00012450104208192367
headache_symptom,2.0089170413861838e-05
has_baseline_row,0.0
screening_fallback_allowed,0.0
has_screening_row,0.0
chest_pain_symptom,0.0
npi_depression_severity,0.0
