feature,importance
mri_wm_hypointensities_icv,16.66980162991223
mri_inf_lat_ventricle_icv,11.368177035023669
mri_fusiform_thickness,10.513752779141099
mri_middle_temporal_icv,9.493277795234983
mri_hippocampus_icv,8.773526211496696
mri_entorhinal_icv,7.986597672690444
mri_icv,7.886614895504153
mri_middle_temporal_thickness,7.6118469138385905
mri_lateral_ventricle_icv,7.2152952951910585
mri_fusiform_icv,5.23562893075598
mri_entorhinal_thickness,4.08497343411021
mri_amygdala_icv,3.1605074071008854
