feature,importance
cdrsb,25.989855229634347
adas13_total,5.590700967622602
faq_total,5.174820770628508
logical_memory_delayed,4.94887628149226
logical_memory_retention_ratio,4.486514153964356
adas_q4_q14_delta,3.8211867300637645
plasma_ptau217,3.6141444636729143
hachinski_hypertension_history,3.504390599237493
plasma_ptau217_abeta42_ratio,3.4612723903309726
baseline_musculoskeletal_pain,3.3952825584280504
plasma_abeta42_abeta40_ratio,3.3323642122668367
symptom_burden_baseline,2.9323095206987
adas11_total,2.8019143644700875
mmse_total,2.3939366976310956
logical_memory_immediate,2.2691876903919574
csf_ptau_abeta42_ratio,2.1478083661377845
csf_tau,2.0685521277695234
csf_ptau_tau_ratio,2.003128193835383
hachinski_total_score,1.9854979617826884
hemoglobin,1.9206685982258709
trail_a_time,1.9085855052770893
gds_depression_severity,1.5320623426572297
csf_tau_abeta42_ratio,1.5251043971455702
vitamin_b12,1.4946484832486633
plasma_abeta42,1.493998158466652
csf_abeta42,1.3244217887409169
csf_ptau,1.17856448424714
faq_any_impairment,1.1714358452015663
neurovascular_burden,0.5287671167299994
