feature,coefficient,abs_coefficient
BMI,-4.725184122582479,4.725184122582479
libra_supported_late_life_raw,2.501552484418927,2.501552484418927
married_homeowner,2.0142668867660634,2.0142668867660634
height_m,-1.8368797720246113,1.8368797720246113
social_structural_engagement,-1.6820692848395653,1.6820692848395653
lifestyle_risk_count,-1.390885331685848,1.390885331685848
weight_kg,1.3285813777529853,1.3285813777529853
serum_creatinine,-1.2168082413407988,1.2168082413407988
libra_supported_rescaled_0_100,-1.1009770443856925,1.1009770443856925
vascular_treatment_gap,-1.0609725403721089,1.0609725403721089
eGFR,-1.0420851019469246,1.0420851019469246
education_retired,-1.0199634617654563,1.0199634617654563
systolic_bp,0.8739001104693898,0.8739001104693898
social_isolation_score,0.8030956781907317,0.8030956781907317
vascular_risk_count,-0.7995906004053793,0.7995906004053793
libra_supported_raw,0.7330773158362124,0.7330773158362124
education_years,0.5967462535599382,0.5967462535599382
metabolic_risk_count,0.5659365992888131,0.5659365992888131
hypertension,0.5450162393094897,0.5450162393094897
renal_dysfunction,-0.513042108244889,0.513042108244889
modifiable_risk_core_count,-0.5085405280576455,0.5085405280576455
diastolic_bp,-0.3338345382083049,0.3338345382083049
serum_glucose,0.3234861265122531,0.3234861265122531
tobacco_burden,-0.3011606592236198,0.3011606592236198
pulse,0.2526510313291614,0.2526510313291614
ses_score,-0.20897566939060086,0.20897566939060086
serum_cholesterol,-0.15415258954306627,0.15415258954306627
smoking_history,-0.06736349012658095,0.06736349012658095
heart_disease,0.03642150989408835,0.03642150989408835
years_retired,-0.02314371924408916,0.02314371924408916
