feature,importance
cdrsb,19.065250184031207
logical_memory_delayed,5.740461828175195
adas13_total,4.512856960552532
plasma_ptau217_abeta42_ratio,4.293514782853234
logical_memory_retention_ratio,4.234409963715945
faq_total,4.188929030810357
mrf_contrast_score,3.596085857195283
baseline_musculoskeletal_pain,3.561324474958262
plasma_ptau217,3.539200553006165
hachinski_hypertension_history,3.2614929024899237
adas11_total,3.23475151774715
logical_memory_immediate,3.161095541246595
adas_q4_q14_delta,3.1276305982417143
vitamin_b12,2.9699640278283197
plasma_abeta42_abeta40_ratio,2.902524940307611
symptom_burden_baseline,2.8137748394177877
hemoglobin,2.5986359991513512
csf_ptau_abeta42_ratio,2.4461635918073696
hachinski_total_score,2.259562521542532
csf_ptau_tau_ratio,1.9089943471539257
csf_tau_abeta42_ratio,1.8816062237903364
mmse_total,1.842984886126047
plasma_abeta42,1.827457919268191
csf_abeta42,1.824753483753188
csf_ptau,1.8241062085045494
csf_tau,1.8029374875777304
faq_any_impairment,1.6097732543672307
trail_a_time,1.5606261177869676
gds_depression_severity,1.4712574209555231
neurovascular_burden,0.9378725356377506
