feature,importance
cdrsb,27.575830001232116
logical_memory_delayed,6.538574921314199
logical_memory_retention_ratio,3.9958939595206147
plasma_ptau217_abeta42_ratio,3.666321593249402
adas13_total,3.4875119887898096
logical_memory_immediate,3.119498938546512
adas_q4_q14_delta,3.0529149401964637
adas11_total,2.839326425640798
plasma_ptau217,2.7050350407545047
plasma_abeta42_abeta40_ratio,2.6036263969694855
faq_any_impairment,1.9958883443300313
vitamin_b12,1.642069975650991
trail_a_time,1.6199855047693028
plasma_abeta42,1.523273119825019
csf_ptau_abeta42_ratio,1.49737514561569
csf_tau_abeta42_ratio,1.476850909928327
csf_ptau_tau_ratio,1.4667225781908935
faq_total,1.4428901496254405
baseline_headache,1.4190413496552259
faq_forms,1.4131300729534682
csf_ptau,1.3995204765808242
baseline_depressed_mood,1.3581600567442869
csf_tau,1.3186439325465504
hemoglobin,1.2682149804976954
mmse_total,1.2429824856803657
faq_events,1.1907176670812682
csf_abeta42,1.1014270982077279
baseline_fall,1.0372854858659768
faq_finances,0.9969227478242892
baseline_insomnia,0.9881664182537773
hachinski_hypertension_history,0.9589196730374041
gds_depression_severity,0.9396955263954625
baseline_musculoskeletal_pain,0.9273789259733414
baseline_blurred_vision,0.8551891631110085
faq_travel,0.8355385036390309
faq_games,0.818592725547172
hachinski_total_score,0.8104109228975208
somatic_complaints,0.7906654917530755
faq_reminders,0.7578398060679806
faq_meal_prep,0.624111769283554
symptom_burden_baseline,0.5859156013161295
faq_shopping,0.5356838086560058
faq_tv,0.49886950998315865
csf_abeta40,0.4960576791605845
npi_sleep_item_score,0.4860747494974271
neurovascular_burden,0.4595476004838711
npi_depression_item_score,0.45926969123236694
csf_abeta42_abeta40_ratio,0.42408423967129183
faq_beverages,0.27933309936685474
gait_abnormality,0.1269206596787468
physical_heart_exam_abnormal,0.11405001011144608
auditory_impairment,0.1003989427355555
delayed_cue_used,0.0961361994847389
peripheral_vascular_exam_abnormal,0.03551299487520356
