feature,importance
cdrsb,24.120741775996855
logical_memory_delayed,6.101320902266993
plasma_ptau217_abeta42_ratio,3.716857031063694
logical_memory_retention_ratio,3.654690842924714
adas13_total,3.519201720866886
adas_q4_q14_delta,3.1913143739636647
plasma_abeta42_abeta40_ratio,3.127292470777281
logical_memory_immediate,2.977108448007088
plasma_ptau217,2.80060617864576
adas11_total,2.7016903589517995
faq_any_impairment,2.393299357823488
csf_ptau_abeta42_ratio,2.0537421972102816
csf_tau_abeta42_ratio,1.895673193752852
faq_total,1.8083185825162365
vitamin_b12,1.7285122317225494
csf_ptau_tau_ratio,1.5810257135093366
trail_a_time,1.5773914016324002
plasma_abeta42,1.2704061619112292
gds_depression_severity,1.2008307441192696
csf_ptau,1.1712888047348313
faq_reminders,1.1507797884265054
mmse_total,1.1358474270645584
faq_forms,1.119315987015368
baseline_headache,1.0954364118620945
csf_abeta42,1.011244123662156
csf_tau,0.9988973715651897
faq_events,0.9848159291850258
baseline_vomiting,0.973387881024518
baseline_musculoskeletal_pain,0.9613039208874392
baseline_fall,0.940433997637965
faq_travel,0.9059321602734712
baseline_chest_pain,0.8913225718035497
hemoglobin,0.8887794631098342
hachinski_hypertension_history,0.8438897699393848
baseline_depressed_mood,0.8007554923271348
baseline_insomnia,0.7598449303845214
hachinski_total_score,0.7527365817747412
hachinski_stroke_history,0.7354317563206313
faq_meal_prep,0.7249999729755149
somatic_complaints,0.7146716641181248
faq_finances,0.67944521075711
baseline_blurred_vision,0.5679463231655171
faq_tv,0.54406516273748
symptom_burden_baseline,0.540564189205402
csf_abeta40,0.5360700582828765
faq_shopping,0.5311422564364793
faq_games,0.4253467998571413
csf_abeta42_abeta40_ratio,0.3695123239498229
neurovascular_burden,0.3080326502591625
baseline_stroke,0.26062102030432405
npi_depression_item_score,0.2438612462638845
NPIK1,0.22072891387875967
NPID2,0.2172943313226739
NPIK4,0.20245341573901737
NPIK2,0.19636552810243407
faq_beverages,0.19610833675586134
npi_sleep_item_score,0.19177586294580962
NPID1,0.18828222989866922
NPID3,0.16551428208862223
NPIK7,0.1441481891227899
NPIK9A,0.13884542623302193
NPIK8,0.1346028848940163
NPIK9B,0.1327345587974526
symptom_burden_current,0.12402088550817672
NPID4,0.12033402043154222
NPID6,0.1185962381356324
npi_depression_symptom_count,0.10929276173905922
NPID5,0.10904558060663956
NPIK6,0.10668412047750102
NPID7,0.10575662459148442
NPIK9C,0.1017670317998566
NPID8,0.10012332355818743
delayed_cue_used,0.09712673707101752
NPIK3,0.09615562773005035
npi_sleep_symptom_count,0.09429288088543872
NPID9B,0.0884578747712236
NPID9A,0.0863180667722338
NPID9C,0.07738018431521672
gait_abnormality,0.07135915133386547
auditory_impairment,0.06663535064460134
fall_symptom,0.06083215583658695
physical_heart_exam_abnormal,0.04173166662405901
peripheral_vascular_exam_abnormal,0.031924467415540426
depressed_mood_symptom,0.02702614109767455
insomnia_symptom,0.021521128731564337
npi_sleep_severity,0.013780014327706161
NPIK5,0.011519299065313751
headache_symptom,0.001169108417608065
blurred_vision_symptom,0.0005486633589777472
has_baseline_row,0.0
has_screening_row,0.0
screening_fallback_allowed,0.0
chest_pain_symptom,0.0
npi_depression_severity,0.0
musculoskeletal_pain_symptom,0.0
