feature,importance
weight_kg,6.837549507398421
height_m,6.310548491467932
systolic_bp,6.132728553700053
pulse,6.05853760473064
diastolic_bp,6.032475406134898
eGFR,5.927921933608697
BMI,5.3849999786310025
years_retired,4.861910450425256
serum_cholesterol,4.586240734437867
serum_glucose,4.317078280348251
ses_score,3.354801078647853
libra_supported_rescaled_0_100,2.5508178696035495
education_years,2.4852219561693585
libra_supported_raw,2.2310901047810328
serum_creatinine,2.1164007372520572
libra_supported_late_life_raw,2.0627128706467586
education_retired,1.8747027414515363
tobacco_burden,1.7477464997204273
smoking_years_since_quit,1.7455303064827443
metabolic_risk_count,1.5974465484492593
renal_dysfunction,1.570254598482
lifestyle_risk_count,1.3521916262113725
modifiable_risk_core_count,1.2729355494042154
heart_disease,1.1234136063111808
hyperglycemia_status,0.9951527743827085
partnered,0.9577434744773591
smoking_duration_years,0.9478812517327171
has_antihypertensive_med,0.9154810313965294
smoking_packs_per_day,0.9001579319401511
vascular_risk_count,0.8777827775010072
alcohol_abuse_history,0.8583018048702934
current_smoking,0.823846906977327
depression,0.74477252651979
social_structural_engagement,0.7387270108381213
retired,0.6331155565564079
married_homeowner,0.5780606223643089
alcohol_burden,0.5639271115482405
retired_lives_alone,0.5313001990797122
social_isolation_score,0.5138996384010637
vascular_treatment_gap,0.5047550280361801
work_history_sufficient,0.4863333499743468
community_dwelling,0.44396204962792785
has_lipid_med,0.4135449385038779
smoking_history,0.39979962756211074
current_alcohol_abuse,0.3481853625519082
obesity,0.3330817322040361
has_antidepressant_med,0.33107280419822943
alcohol_years_since_end,0.3240281378069043
homeowner,0.24289170766456772
high_cholesterol,0.24062766491559992
alcohol_abuse_duration_years,0.22715158235736999
has_diabetes_med,0.20837500812516502
hypertension,0.18777243123416895
alcohol_drinks_per_day,0.13477255925508264
lives_alone,0.040567808476160136
diabetes,0.01767055442425012
has_baseline_row,0.0
has_screening_row,0.0
screening_fallback_allowed,0.0
