feature,importance
cdrsb,21.843307139442707
logical_memory_delayed,7.155775445594138
logical_memory_retention_ratio,4.755894382969414
adas13_total,4.388139033604633
plasma_ptau217_abeta42_ratio,3.6658998826846982
logical_memory_immediate,3.5858120410047905
faq_any_impairment,3.5532485828139935
adas11_total,3.2747817011115976
plasma_abeta42_abeta40_ratio,3.179988993246521
adas_q4_q14_delta,3.069243665031123
plasma_ptau217,2.875177618958438
vitamin_b12,2.2043898428864876
csf_ptau_abeta42_ratio,1.8264230566198196
csf_tau_abeta42_ratio,1.7708211894274104
trail_a_time,1.6110922937774845
hemoglobin,1.5215378732619524
csf_ptau_tau_ratio,1.420844230787908
baseline_blurred_vision,1.3076471554394433
baseline_depressed_mood,1.2971470390572708
plasma_abeta42,1.2529745854067391
csf_tau,1.2503519474827862
baseline_headache,1.2060926108568313
mmse_total,1.201384695190179
baseline_musculoskeletal_pain,1.1571322270413504
faq_total,1.1534728289896015
baseline_insomnia,1.1494562890383735
gds_depression_severity,1.1371825982684798
csf_abeta42,1.1064350333515933
csf_ptau,1.088183553065655
faq_forms,1.0174356109851146
hachinski_total_score,0.9988487010074973
faq_finances,0.9339724837906502
faq_reminders,0.9219654843551737
somatic_complaints,0.8782565455184909
baseline_fall,0.8648304481097998
hachinski_hypertension_history,0.8106025005484563
faq_events,0.7715525264783027
faq_meal_prep,0.7239126102119801
symptom_burden_baseline,0.7006983442166155
faq_travel,0.5913896629030838
neurovascular_burden,0.5884008980242587
npi_depression_item_score,0.5353702847428611
faq_tv,0.528568543185183
csf_abeta40,0.47770007689112104
faq_games,0.47523995814503345
csf_abeta42_abeta40_ratio,0.4705814692067836
faq_shopping,0.469371017750779
npi_sleep_item_score,0.40506347708423773
faq_beverages,0.2283820405507974
physical_heart_exam_abnormal,0.1874004417393757
delayed_cue_used,0.15237491846145798
auditory_impairment,0.14107555811881206
peripheral_vascular_exam_abnormal,0.06265057234994174
gait_abnormality,0.05451828921277487
