feature,importance
cdrsb,22.283530414027
logical_memory_delayed,5.731349033646451
adas13_total,4.443119775428937
logical_memory_retention_ratio,3.905011853705112
plasma_ptau217,3.4781316170392964
logical_memory_immediate,3.2042276385990363
plasma_abeta42_abeta40_ratio,2.9030504517504605
plasma_ptau217_abeta42_ratio,2.7658689397415634
faq_any_impairment,2.461192038430096
adas11_total,2.416097359926095
adas_q4_q14_delta,2.3823133620000396
faq_total,1.9022454231516082
csf_ptau_abeta42_ratio,1.6719468960435955
mmse_total,1.6571496455622046
plasma_abeta42,1.64196120274852
faq_forms,1.5400526016892333
trail_a_time,1.4519628981989245
faq_reminders,1.357071461727744
faq_shopping,1.3115849208558745
csf_tau_abeta42_ratio,1.2201670371915683
hachinski_hypertension_history,1.205898905602465
baseline_musculoskeletal_pain,1.195847125371386
gds_depression_severity,1.1745926319091435
vitamin_b12,1.1257675147617001
hachinski_stroke_history,1.0714909836234592
somatic_complaints,1.0675676578604203
faq_travel,1.0154727450052434
csf_tau,0.9604685741854576
baseline_headache,0.9207346939829366
faq_events,0.8919212402023554
baseline_fall,0.8396246333351387
csf_abeta42,0.8239474159205852
baseline_chest_pain,0.8183639566869797
hemoglobin,0.8143300281951124
baseline_insomnia,0.7959815936448272
baseline_vomiting,0.7956838826619892
csf_ptau_tau_ratio,0.7591375225580151
faq_games,0.7428959765987426
faq_meal_prep,0.7329449694428686
faq_finances,0.7115359799765424
csf_ptau,0.7034914219547866
baseline_blurred_vision,0.6898320063305652
baseline_depressed_mood,0.6711022718655545
symptom_burden_baseline,0.6685811438435726
csf_abeta42_abeta40_ratio,0.6282413119257115
hachinski_total_score,0.6145145062237886
faq_tv,0.5205239854278998
csf_abeta40,0.48440143838946315
neurovascular_burden,0.4600540652736245
faq_beverages,0.35655087858920703
NPIK4,0.35474770574662995
NPIK9A,0.2946608174426297
NPID1,0.29198588190351304
symptom_burden_current,0.2642788604537914
NPIK8,0.2581910069895462
baseline_stroke,0.2512704132663901
NPIK1,0.2495268091466242
NPIK2,0.23460857742879354
NPID2,0.22357645963621162
NPIK6,0.2106864296177772
delayed_cue_used,0.208063191155952
NPIK9C,0.20465867350340433
NPID5,0.1979323557693573
npi_sleep_item_score,0.1949016610060006
NPID9C,0.18771340265910663
NPIK7,0.18683291827815213
NPID8,0.16992823632721454
npi_depression_item_score,0.1684695646046626
NPID6,0.1648092120668973
NPID9A,0.15861146688664457
npi_depression_symptom_count,0.15798965487280975
NPIK9B,0.15123164870391131
NPID3,0.14777654731601966
NPID7,0.1468413222048711
NPID9B,0.13865001409805844
npi_sleep_symptom_count,0.12618854196660798
NPIK3,0.10399179680225965
NPID4,0.10267109681225575
fall_symptom,0.08275208272406973
NPIK5,0.06724906755846832
physical_heart_exam_abnormal,0.06675620341236216
gait_abnormality,0.05269594035075387
auditory_impairment,0.0447184540170797
insomnia_symptom,0.0416859803584191
peripheral_vascular_exam_abnormal,0.03939749110256859
npi_sleep_severity,0.0320337304963367
depressed_mood_symptom,0.03199272926773959
blurred_vision_symptom,0.0003884212332018949
screening_fallback_allowed,0.0
has_baseline_row,0.0
has_screening_row,0.0
chest_pain_symptom,0.0
headache_symptom,0.0
musculoskeletal_pain_symptom,0.0
npi_depression_severity,0.0
